# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
# Conversion Time: 2025-05-31T00:00:19.940504
# Dataset: Coloring
# Total Rows: 498
# Total Sequences: 11
# ML Processing Time: 2025-05-30T23:38:41.445331
# ML Total Sequences: 11
# ML Total Touch Points: 498
# Quality Distribution: {'high': 462, 'medium': 36, 'low': 0}
# Behavioral Patterns: {'drag': 491, 'complex': 3, 'hold': 2, 'tap': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
1,0,1041.000000,262.000000,5.132004,Began,0,-0.028060,-1.009367,-0.121085,RedDefault,Wall,0.000000,0.000000,1.016991,0.000000,0.651717,0.651717,outlier,8.000000,8.000000,1.000000,complex,1,0.000000,0.000000,0.000000,5.132004,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.996626,stationary,start_Began,0.000000,high,1.000000,3,0,1,0.989284,1.455778,0.999468,0.000000,0.000000,-1.154700,0,51.884179,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
1,1,1040.000000,258.000000,5.165400,Moved,0,-0.028060,-1.009367,-0.121085,RedDefault,Wall,0.421941,0.000000,1.016991,123.462689,0.647761,0.647761,outlier,8.000000,8.000000,1.000000,complex,0,0.421941,0.421941,4.123106,10.297404,-1.815775,-1.815775,4.123106,0,1,0,1,deliberate,0.996626,stationary,Began_to_Moved,0.333333,high,1.000000,3,1,1,0.989284,1.455778,0.999468,0.033396,0.033396,0.578001,0,51.884179,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,123.462689,0,-1.000000,-4.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
1,2,1040.000000,254.000000,5.198770,Ended,0,-0.047001,-1.002779,-0.100467,RedDefault,Wall,0.843882,-0.008096,1.008895,-3.596196,0.640915,0.640915,outlier,8.000000,8.000000,1.000000,complex,0,-0.000000,0.421941,8.123106,15.496174,-1.570796,0.244979,4.000000,0,1,0,1,deliberate,0.996626,stationary,Moved_to_Ended,0.666667,high,1.000000,3,2,1,0.989284,1.455778,0.999468,-0.000025,0.033370,0.576699,0,51.884179,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,119.866493,0,0.000000,-4.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
10,0,1377.000000,459.000000,39.336643,Began,1,0.205326,-0.996892,-0.098271,Orange,Wall,91.561180,0.000000,1.022551,0.000000,0.508956,0.508956,normal,264.002640,22.000000,12.000120,drag,1,0.000000,0.000000,0.000000,39.336643,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.657859,variable,start_Began,0.000000,medium,1.000000,4,0,1,0.205987,1.837757,0.653542,0.000000,0.000000,-1.305538,0,31.262558,"['general_analysis', 'pattern_recognition']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
10,1,1388.000000,480.000000,39.403450,Moved,1,0.265624,-0.996892,-0.076159,Orange,Wall,91.561180,0.011930,1.034481,354.852135,0.504002,0.504002,normal,264.002640,22.000000,12.000120,drag,0,0.000000,0.000000,23.706539,78.740093,1.088283,1.088283,23.706539,0,1,0,1,deliberate,0.657859,variable,Began_to_Moved,0.250000,medium,1.000000,4,1,1,0.205987,1.837757,0.653542,0.066807,0.066807,0.783013,0,31.262558,"['general_analysis', 'pattern_recognition']",0.900000,354.852135,0,11.000000,21.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
10,2,1389.000120,481.000000,39.436855,Moved,1,0.257420,-1.043039,-0.033946,Orange,Wall,91.561180,0.040390,1.074871,-312.514602,0.503320,0.503320,normal,264.002640,22.000000,12.000120,drag,0,0.000000,0.000000,25.120838,118.176948,0.785338,-0.302945,1.414298,0,1,0,1,deliberate,0.657859,variable,Moved_to_Moved,0.500000,medium,1.000000,4,2,1,0.205987,1.837757,0.653542,-0.033402,0.033405,-0.261203,0,31.262558,"['general_analysis', 'pattern_recognition']",0.900000,42.337533,0,1.000120,1.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
10,3,1389.000120,481.000000,39.503685,Ended,1,0.232288,-0.946750,-0.155520,Orange,Wall,91.561180,-0.087713,0.987158,-42.337533,0.511009,0.511009,normal,264.002640,22.000000,12.000120,drag,0,0.000000,0.000000,25.120838,157.680633,0.000000,-0.785338,0.000000,0,1,0,1,deliberate,0.657859,variable,Moved_to_Ended,0.750000,medium,1.000000,4,3,1,0.205987,1.837757,0.653542,0.033424,0.066830,0.783729,0,31.262558,"['general_analysis', 'pattern_recognition']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
11,0,2225.000000,111.000000,44.915165,Began,0,-0.234118,-0.978715,-0.112667,Orange,Super outside,91.561180,0.000000,1.012614,0.000000,0.715359,0.715359,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,44.915165,0.000000,0.000000,0.000000,0,1,0,0,irregular,0.540000,minimal,start_Began,0.000000,medium,0.600000,2,0,0,1.000000,100000000.000000,0.000000,0.000000,0.000000,-0.707106,0,42.354260,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.300000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
11,1,2225.000000,111.000000,44.948555,Stationary,0,-0.226188,-0.976641,-0.124257,Orange,Super outside,91.561180,-0.002452,1.010162,0.000000,0.715359,0.715359,outlier,0.000000,0.000000,0.000000,hold,0,0.000000,0.000000,0.000000,89.863720,0.000000,0.000000,0.000000,0,1,0,0,irregular,0.540000,minimal,Began_to_Stationary,0.500000,medium,0.600000,2,1,0,1.000000,100000000.000000,0.000000,0.033390,0.033390,0.707106,0,42.354260,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.300000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
2,0,933.999939,705.000000,9.407319,Began,0,-0.030042,-0.987986,-0.077134,RedDefault,Roof,0.843882,0.000000,0.991448,0.000000,0.614130,0.614130,outlier,20978.037637,617.000000,34.000061,drag,1,0.000000,0.000000,0.000000,9.407319,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.780369,variable,start_Began,0.000000,medium,1.000000,8,0,1,0.642183,3.501423,0.625713,0.000000,0.000000,-1.767486,0,42.338677,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,4,enhanced_Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb.json
