# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
# Conversion Time: 2025-05-31T00:00:22.687136
# Dataset: Coloring
# Total Rows: 1425
# Total Sequences: 42
# ML Processing Time: 2025-05-30T23:38:54.447014
# ML Total Sequences: 42
# ML Total Touch Points: 1425
# Quality Distribution: {'high': 1161, 'medium': 154, 'low': 110}
# Behavioral Patterns: {'drag': 1380, 'complex': 18, 'tap': 16, 'hold': 9, 'unknown': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,1345.000000,16.000030,3113.108000,Ended,0,0.005814,0.000519,-0.990982,Orange,Outside,48.101270,0.000000,0.990999,0.000000,0.585582,0.585582,outlier,669695.976960,871.999970,768.000000,complex,1,0.000000,0.000000,0.000000,3113.108000,0.000000,0.000000,0.000000,0,0,0,1,irregular,0.367661,variable,start_Ended,0.000000,low,0.400000,5,0,0,0.692204,0.643308,0.000000,0.000000,0.000000,-0.617940,0,0.055505,"['quality_research', 'outlier_investigation']",0.300000,0.000000,0,0.000000,0.000000,1,5,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
0,1,1584.000000,226.999969,3120.132000,Ended,0,0.010071,0.004593,-0.989059,Orange,Roof,48.945150,-0.001878,0.989121,45.389149,0.516272,0.516272,normal,669695.976960,871.999970,768.000000,complex,0,0.843880,0.843880,318.813385,6233.240000,0.723256,0.723256,318.813385,0,0,0,1,irregular,0.367661,variable,Ended_to_Ended,0.200000,low,0.400000,5,1,0,0.692204,0.643308,0.000000,7.024000,7.024000,-0.228072,0,0.055505,['quality_research'],0.300000,45.389149,0,239.000000,210.999939,1,5,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
0,2,2038.000000,397.999969,3125.365000,Ended,0,0.006180,-0.005753,-0.985229,Orange,Wall,51.898735,-0.003856,0.985266,47.317914,0.540857,0.540857,normal,669695.976960,871.999970,768.000000,complex,0,2.109705,2.953585,803.949448,9358.605000,0.360218,-0.363038,485.136063,0,0,0,1,irregular,0.367661,variable,Ended_to_Ended,0.400000,low,0.400000,5,2,0,0.692204,0.643308,0.000000,-1.791000,5.233000,-0.327482,0,0.055505,['quality_research'],0.300000,92.707063,0,454.000000,171.000000,1,5,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
0,3,1906.000000,130.000031,3125.865000,Ended,5,0.010071,0.003357,-0.992294,Orange,Outside,54.430378,0.007085,0.992351,504.780889,0.595986,0.595986,outlier,669695.976960,871.999970,768.000000,complex,0,-0.421942,2.531643,1102.693430,12484.470000,-2.028456,-2.388674,298.743982,0,0,0,1,irregular,0.367661,variable,Ended_to_Ended,0.600000,low,0.400000,5,3,0,0.692204,0.643308,0.000000,-4.733000,0.500000,-0.590187,0,0.055505,"['quality_research', 'outlier_investigation']",0.300000,597.487952,0,-132.000000,-267.999938,1,5,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
0,4,1270.000000,888.000000,3168.773190,Ended,1,-0.007950,0.649719,-0.773529,Green,Wall,77.215190,0.017869,1.010221,-574.427679,0.496238,0.496238,normal,669695.976960,871.999970,768.000000,complex,1,20.253169,22.784812,2092.168014,15653.243190,2.268899,4.297355,989.474584,0,0,0,1,irregular,0.367661,variable,Ended_to_Ended,0.800000,low,0.400000,5,4,0,0.692204,0.643308,0.000000,42.408190,42.908190,1.763680,0,0.055505,['quality_research'],0.300000,23.060273,0,-636.000000,757.999969,1,5,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
1,0,214.000000,1052.000000,3083.609860,Began,0,0.003479,0.011810,-0.992401,RedDefault,Outside,0.000000,0.000000,0.992477,0.000000,0.691399,0.691399,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,3083.609860,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998229,stationary,start_Began,0.000000,high,1.000000,4,0,1,1.000000,100000000.000000,0.994095,0.000000,0.000000,-1.499929,0,60.081289,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
1,1,214.000000,1052.000000,3083.643000,Stationary,0,0.004257,0.013367,-0.999649,RedDefault,Outside,0.000000,0.007270,0.999747,0.000000,0.691399,0.691399,outlier,0.000000,0.000000,0.000000,hold,0,0.000000,0.000000,0.000000,6167.252860,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998229,stationary,Began_to_Stationary,0.250000,high,1.000000,4,1,1,1.000000,100000000.000000,0.994095,0.033140,0.033140,0.491165,0,60.081289,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
1,2,214.000000,1052.000000,3083.676510,Stationary,0,0.032791,-0.009232,-0.988144,RedDefault,Outside,0.000000,-0.011017,0.988731,0.000000,0.691399,0.691399,outlier,0.000000,0.000000,0.000000,hold,0,0.000000,0.000000,0.000000,9250.929370,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998229,stationary,Stationary_to_Stationary,0.500000,high,1.000000,4,2,1,1.000000,100000000.000000,0.994095,0.000370,0.033510,0.513395,0,60.081289,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
1,3,214.000000,1052.000000,3083.709720,Ended,0,0.000092,0.016190,-0.991379,Orange,Outside,0.000000,0.002780,0.991511,0.000000,0.691399,0.691399,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,12334.639090,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998229,stationary,Stationary_to_Ended,0.750000,high,1.000000,4,3,1,1.000000,100000000.000000,0.994095,-0.000300,0.033210,0.495370,0,60.081289,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
10,0,1857.000000,713.000000,3112.408000,Began,0,0.008667,0.005676,-0.991043,Orange,Outside,47.679325,0.000000,0.991097,0.000000,0.483971,0.483971,normal,448564.015240,883.000030,508.000000,drag,1,0.000000,0.000000,0.000000,3112.408000,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.483612,erratic,start_Began,0.000000,low,0.800000,16,0,0,0.000000,1.301287,0.545373,0.000000,0.000000,-1.855048,0,52.383067,['quality_research'],0.600000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4.json
