# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
# Conversion Time: 2025-05-31T00:00:19.720302
# Dataset: Coloring
# Total Rows: 253
# Total Sequences: 21
# ML Processing Time: 2025-05-30T23:38:40.293163
# ML Total Sequences: 21
# ML Total Touch Points: 253
# Quality Distribution: {'high': 126, 'medium': 46, 'low': 81}
# Behavioral Patterns: {'drag': 226, 'tap': 16, 'hold': 7, 'complex': 4}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,841.000000,487.000031,3193.779000,Ended,0,-0.002045,0.665009,-0.725800,RedDefault,Wall,8.860760,0.000000,0.984391,0.000000,0.468278,0.468278,normal,508396.033604,469.000031,1084.000000,complex,1,0.000000,0.000000,0.000000,3193.779000,0.000000,0.000000,0.000000,0,0,0,1,irregular,0.353062,variable,start_Ended,0.000000,low,0.400000,4,0,0,0.643542,1.198038,0.000000,0.000000,0.000000,-0.501098,0,0.049130,['quality_research'],0.300000,0.000000,0,0.000000,0.000000,1,3,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
0,1,847.000000,400.000031,3193.812500,Ended,3,0.025879,0.658173,-0.692184,RedDefault,Wall,8.860760,-0.028891,0.955500,2603.182839,0.455433,0.455433,normal,508396.033604,469.000031,1084.000000,complex,0,0.000000,0.000000,87.206651,6387.591500,-1.501940,-1.501940,87.206651,0,0,0,1,irregular,0.353062,variable,Ended_to_Ended,0.250000,low,0.400000,4,1,0,0.643542,1.198038,0.000000,0.033500,0.033500,-0.499452,0,0.049130,['quality_research'],0.300000,2603.182839,0,6.000000,-87.000000,0,3,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
0,2,1267.000000,18.000000,3234.543460,Ended,1,-0.102310,0.263062,-0.976181,RedDefault,Outside,47.679325,0.060668,1.016168,-2589.244157,0.579251,0.579251,outlier,508396.033604,469.000031,1084.000000,complex,0,38.818565,38.818565,654.942526,9622.134960,-0.738052,0.763888,567.735875,0,0,0,1,irregular,0.353062,variable,Ended_to_Ended,0.500000,low,0.400000,4,2,0,0.643542,1.198038,0.000000,40.697460,40.730960,1.500000,0,0.049130,"['quality_research', 'outlier_investigation']",0.300000,13.938681,0,420.000000,-382.000031,1,3,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
0,3,1925.000000,247.000031,3234.577000,Ended,3,0.000732,0.376953,-0.853058,RedDefault,Super outside,48.101270,-0.083537,0.932632,20758.569628,0.620605,0.620605,outlier,508396.033604,469.000031,1084.000000,complex,0,-38.396620,0.421945,1351.652662,12856.711960,0.334914,1.072966,696.710136,0,0,0,1,irregular,0.353062,variable,Ended_to_Ended,0.750000,low,0.400000,4,3,0,0.643542,1.198038,0.000000,-40.697420,0.033540,-0.499450,0,0.049130,"['quality_research', 'outlier_investigation']",0.300000,20772.508309,0,658.000000,229.000031,1,3,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
1,0,800.000000,504.000000,3192.546000,Began,0,0.019318,0.669693,-0.729752,RedDefault,Wall,0.000000,0.000000,0.990656,0.000000,0.539354,0.539354,normal,432.000000,12.000000,36.000000,hold,1,0.000000,0.000000,0.000000,3192.546000,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.657681,variable,start_Began,0.000000,medium,0.800000,4,0,0,0.133975,12.431989,0.991627,0.000000,0.000000,-1.499859,0,60.144718,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
1,1,800.000000,504.000000,3192.579000,Stationary,0,0.075790,0.665024,-0.722198,RedDefault,Wall,0.421941,-0.005988,0.984668,0.000000,0.509650,0.509650,normal,432.000000,12.000000,36.000000,hold,0,0.421941,0.421941,0.000000,6385.125000,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.657681,variable,Began_to_Stationary,0.250000,medium,0.800000,4,1,0,0.133975,12.431989,0.991627,0.033000,0.033000,0.484917,0,60.144718,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
1,2,800.000000,504.000000,3192.612550,Stationary,0,-0.001663,0.624893,-0.741348,RedDefault,Wall,1.687764,-0.015085,0.969583,0.000000,0.493118,0.493118,normal,432.000000,12.000000,36.000000,hold,0,0.843882,1.265823,0.000000,9577.737550,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.657681,variable,Stationary_to_Stationary,0.500000,medium,0.800000,4,2,0,0.133975,12.431989,0.991627,0.000550,0.033550,0.517996,0,60.144718,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
1,3,836.000000,492.000000,3192.645750,Canceled,0,-0.016785,0.695450,-0.777298,RedDefault,Wall,2.953587,0.073549,1.043132,1142.991581,0.497201,0.497201,normal,432.000000,12.000000,36.000000,hold,0,0.000000,1.265823,37.947332,12770.383300,-0.321751,-0.321751,37.947332,0,1,1,0,interrupted,0.657681,variable,Stationary_to_Canceled,0.750000,medium,0.800000,4,3,0,0.133975,12.431989,0.991627,-0.000350,0.033200,0.496946,0,60.144718,"['general_analysis', 'pattern_recognition']",0.600000,1142.991581,0,36.000000,-12.000000,0,1,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
10,0,881.000000,845.000061,3200.778810,Began,0,0.025131,0.649567,-0.724808,RedDefault,Roof,13.924050,0.000000,0.973609,0.000000,0.531171,0.531171,normal,123825.000000,195.000000,635.000000,drag,1,0.000000,0.000000,0.000000,3200.778810,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.915793,variable,start_Began,0.000000,high,1.000000,39,0,1,0.722431,1.504736,0.996878,0.000000,0.000000,-6.083733,0,187.360285,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,1,6,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
10,1,903.000000,840.000000,3200.812000,Moved,0,0.056870,0.673172,-0.675293,RedDefault,Roof,14.345991,-0.018405,0.955204,679.753994,0.512277,0.512277,normal,123825.000000,195.000000,635.000000,drag,0,0.421941,0.421941,22.561042,6401.590810,-0.223479,-0.223479,22.561042,0,1,0,1,deliberate,0.915793,variable,Began_to_Moved,0.025641,high,1.000000,39,1,1,0.722431,1.504736,0.996878,0.033190,0.033190,0.134755,0,187.360285,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,679.753994,0,22.000000,-5.000061,0,6,enhanced_Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4.json
