# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
# Conversion Time: 2025-05-31T00:00:25.105955
# Dataset: Coloring
# Total Rows: 1518
# Total Sequences: 58
# ML Processing Time: 2025-05-30T23:39:04.728977
# ML Total Sequences: 58
# ML Total Touch Points: 1518
# Quality Distribution: {'high': 1272, 'medium': 171, 'low': 75}
# Behavioral Patterns: {'drag': 1461, 'complex': 30, 'hold': 20, 'tap': 6, 'unknown': 1}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,852.000000,70.999970,1783.353390,Canceled,3,0.053711,0.053345,-0.983582,RedDefault,Wall,32.911392,0.000000,0.986490,0.000000,0.549743,0.549743,normal,1966841.942490,1025.999970,1917.000000,drag,1,0.000000,0.000000,0.000000,1783.353390,0.000000,0.000000,0.000000,0,0,1,1,interrupted,0.209436,erratic,start_Canceled,0.000000,low,0.400000,63,0,0,0.164786,0.623898,0.000000,0.000000,0.000000,-0.292592,0,0.207256,['quality_research'],0.600000,0.000000,0,0.000000,0.000000,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,1,468.000000,342.000000,1783.386720,Moved,4,0.051254,0.052612,-0.985245,RedDefault,Outside,33.333336,0.001489,0.987979,14101.310675,0.523187,0.523187,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.421944,0.421944,469.996826,3566.740110,2.527032,2.527032,469.996826,0,0,1,1,interrupted,0.209436,erratic,Canceled_to_Moved,0.015873,low,0.400000,63,1,0,0.164786,0.623898,0.000000,0.033330,0.033330,-0.285684,0,0.207256,['quality_research'],0.600000,14101.310675,0,-384.000000,271.000030,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,2,586.000000,322.000031,1783.420000,Moved,4,0.051102,0.055130,-0.986343,RedDefault,Outside,33.333336,0.001225,0.989204,-10505.070493,0.507974,0.507974,normal,1966841.942490,1025.999970,1917.000000,drag,0,-0.421944,0.000000,589.679735,5350.160110,-0.167896,-2.694928,119.682909,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.031746,low,0.400000,63,2,0,0.164786,0.623898,0.000000,-0.000050,0.033280,-0.285695,0,0.207256,['quality_research'],0.600000,3596.240182,0,118.000000,-19.999969,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,3,690.000000,295.999969,1783.453370,Moved,4,0.051102,0.055130,-0.986343,RedDefault,Wall,33.333336,0.000000,0.989204,-383.752044,0.500547,0.500547,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,696.880496,7133.613480,-0.244979,-0.077084,107.200761,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.047619,low,0.400000,63,3,0,0.164786,0.623898,0.000000,0.000090,0.033370,-0.285676,0,0.207256,['quality_research'],0.600000,3212.488138,0,104.000000,-26.000062,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,4,756.000000,273.000000,1783.486690,Moved,4,0.049408,0.056229,-0.989304,RedDefault,Wall,33.755276,0.002928,0.992131,-1114.866775,0.491637,0.491637,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.421940,0.421940,766.773261,8917.100170,-0.335324,-0.090345,69.892765,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.063492,low,0.400000,63,4,0,0.164786,0.623898,0.000000,-0.000050,0.033320,-0.285686,0,0.207256,['quality_research'],0.600000,2097.621364,0,66.000000,-22.999969,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,5,764.000000,279.000000,1783.520000,Moved,4,0.049408,0.056229,-0.989304,RedDefault,Wall,33.755276,0.000000,0.992131,-1797.411307,0.489691,0.489691,normal,1966841.942490,1025.999970,1917.000000,drag,0,-0.421940,0.000000,776.773261,10700.620170,0.643501,0.978825,10.000000,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.079365,low,0.400000,63,5,0,0.164786,0.623898,0.000000,-0.000010,0.033310,-0.285688,0,0.207256,['quality_research'],0.600000,300.210057,0,8.000000,6.000000,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,6,736.000000,295.999969,1783.553340,Moved,4,0.047821,0.053970,-0.979767,RedDefault,Wall,33.755276,-0.009714,0.982417,682.293026,0.490014,0.490014,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,809.529924,12484.173510,2.595938,1.952437,32.756663,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.095238,low,0.400000,63,6,0,0.164786,0.623898,0.000000,0.000030,0.033340,-0.285682,0,0.207256,['quality_research'],0.600000,982.503083,0,-28.000000,16.999969,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,7,692.000000,304.000031,1783.586670,Moved,4,0.051453,0.055252,-0.988602,RedDefault,Wall,33.755276,0.009064,0.991480,359.271811,0.494047,0.494047,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,854.251294,14267.760180,2.961738,0.365799,44.721371,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.111111,low,0.400000,63,7,0,0.164786,0.623898,0.000000,-0.000010,0.033330,-0.285684,0,0.207256,['quality_research'],0.600000,1341.774894,0,-44.000000,8.000062,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,8,654.000000,319.999969,1783.620000,Moved,4,0.051453,0.055252,-0.988602,RedDefault,Outside,34.177216,0.000000,0.991480,-104.720594,0.495825,0.495825,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.421940,0.421940,895.482327,16051.380180,2.743072,-0.218666,41.231032,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.126984,low,0.400000,63,8,0,0.164786,0.623898,0.000000,0.000000,0.033330,-0.285684,0,0.207256,['quality_research'],0.600000,1237.054300,0,-38.000000,15.999938,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,9,643.000000,334.000031,1783.653320,Moved,4,0.052734,0.054062,-0.988327,RedDefault,Outside,34.177216,-0.000272,0.991208,-702.704444,0.492740,0.492740,normal,1966841.942490,1025.999970,1917.000000,drag,0,-0.421940,0.000000,913.286869,17835.033500,2.236763,-0.506308,17.804543,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.142857,low,0.400000,63,9,0,0.164786,0.623898,0.000000,-0.000010,0.033320,-0.285686,0,0.207256,['quality_research'],0.600000,534.349857,0,-11.000000,14.000062,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,10,643.000000,339.000000,1783.686650,Moved,4,0.052994,0.052841,-0.982727,RedDefault,Outside,34.177216,-0.005636,0.985572,-384.335830,0.493143,0.493143,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,918.286838,19618.720150,1.570796,-0.665967,4.999969,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.158730,low,0.400000,63,10,0,0.164786,0.623898,0.000000,0.000010,0.033330,-0.285684,0,0.207256,['quality_research'],0.600000,150.014026,0,0.000000,4.999969,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,11,670.000000,330.000000,1783.720000,Moved,4,0.052994,0.052841,-0.982727,RedDefault,Bound,34.177216,0.000000,0.985572,703.373992,0.494194,0.494194,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,946.747337,21402.440150,-0.321751,-1.892547,28.460499,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.174603,low,0.400000,63,11,0,0.164786,0.623898,0.000000,0.000020,0.033350,-0.285680,0,0.207256,['quality_research'],0.600000,853.388018,0,27.000000,-9.000000,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,12,742.000000,298.999969,1783.753300,Moved,4,0.049927,0.056274,-0.988739,RedDefault,Wall,34.177216,0.006024,0.991597,1500.667210,0.485273,0.485273,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,1025.137400,23186.193450,-0.406567,-0.084817,78.390063,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.190476,low,0.400000,63,12,0,0.164786,0.623898,0.000000,-0.000050,0.033300,-0.285690,0,0.207256,['quality_research'],0.600000,2354.055228,0,72.000000,-31.000031,1,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,13,861.000000,244.999969,1783.786620,Moved,4,0.048477,0.056137,-0.986496,RedDefault,Wall,34.177216,-0.002316,0.989280,1567.882250,0.493303,0.493303,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,1155.816396,24969.980070,-0.425994,-0.019427,130.678996,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.206349,low,0.400000,63,13,0,0.164786,0.623898,0.000000,0.000020,0.033320,-0.285686,0,0.207256,['quality_research'],0.600000,3921.937479,0,119.000000,-54.000000,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,14,901.000000,231.000000,1783.820070,Moved,4,0.047867,0.056870,-0.991135,RedDefault,Wall,35.021095,0.004638,0.993918,-2654.995258,0.495751,0.495751,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.843880,0.843880,1198.195626,26753.800140,-0.336674,0.089320,42.379230,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.222222,low,0.400000,63,14,0,0.164786,0.623898,0.000000,0.000130,0.033450,-0.285659,0,0.207256,['quality_research'],0.600000,1266.942221,0,40.000000,-13.999969,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,15,914.000000,226.999969,1783.853390,Moved,4,0.046448,0.058960,-0.997986,RedDefault,Wall,35.443040,0.006886,1.000804,-858.734672,0.497162,0.497162,normal,1966841.942490,1025.999970,1917.000000,drag,0,-0.421935,0.421945,1211.797105,28537.653530,-0.298501,0.038173,13.601480,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.238095,low,0.400000,63,15,0,0.164786,0.623898,0.000000,-0.000130,0.033320,-0.285686,0,0.207256,['quality_research'],0.600000,408.207549,0,13.000000,-4.000031,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,16,907.000000,231.000000,1783.886720,Moved,4,0.046585,0.058685,-0.999390,RedDefault,Wall,35.443040,0.001390,1.002194,-166.315239,0.495675,0.495675,normal,1966841.942490,1025.999970,1917.000000,drag,0,-0.421945,0.000000,1219.859378,30321.540250,2.622443,2.920944,8.062273,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.253968,low,0.400000,63,16,0,0.164786,0.623898,0.000000,0.000010,0.033330,-0.285684,0,0.207256,['quality_research'],0.600000,241.892311,0,-7.000000,4.000031,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
0,17,861.000000,253.000031,1783.920000,Moved,4,0.054184,0.053558,-0.980957,RedDefault,Wall,35.443040,-0.018283,0.983911,1290.264937,0.492041,0.492041,normal,1966841.942490,1025.999970,1917.000000,drag,0,0.000000,0.000000,1270.849587,32105.460250,2.695487,0.073043,50.990209,0,0,1,1,interrupted,0.209436,erratic,Moved_to_Moved,0.269841,low,0.400000,63,17,0,0.164786,0.623898,0.000000,-0.000050,0.033280,-0.285695,0,0.207256,['quality_research'],0.600000,1532.157247,0,-46.000000,22.000031,0,17,enhanced_Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166.json
