# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
# Conversion Time: 2025-05-31T00:00:19.659617
# Dataset: Coloring
# Total Rows: 974
# Total Sequences: 31
# ML Processing Time: 2025-05-30T23:38:40.645342
# ML Total Sequences: 31
# ML Total Touch Points: 974
# Quality Distribution: {'high': 903, 'medium': 14, 'low': 57}
# Behavioral Patterns: {'drag': 959, 'hold': 8, 'complex': 3, 'tap': 2, 'unknown': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,984.000000,846.999939,2030.576780,Ended,1,0.038422,0.038574,-0.991074,RedDefault,TopCake,38.586956,0.000000,0.992568,0.000000,0.501906,0.501906,normal,499809.977350,661.999970,755.000000,complex,1,0.000000,0.000000,0.000000,2030.576780,0.000000,0.000000,0.000000,0,0,0,1,irregular,0.412676,variable,start_Ended,0.000000,low,0.400000,3,0,0,0.616671,1.314974,0.225584,0.000000,0.000000,-0.837800,0,0.024704,['quality_research'],0.300000,0.000000,0,0.000000,0.000000,1,3,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
0,1,1517.000000,184.999969,2053.590330,Ended,0,0.032043,0.035339,-0.990356,RedDefault,Bound,53.804350,-0.001063,0.991505,36.930492,0.516564,0.516564,normal,499809.977350,661.999970,755.000000,complex,0,15.217394,15.217394,849.901736,4084.167110,-0.892932,-0.892932,849.901736,0,0,0,1,irregular,0.412676,variable,Ended_to_Ended,0.333333,low,0.400000,3,1,0,0.616671,1.314974,0.225584,23.013550,23.013550,-0.269262,0,0.024704,['quality_research'],0.300000,36.930492,0,533.000000,-661.999970,1,3,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
0,2,1739.000000,304.999969,2132.315430,Ended,0,0.035095,0.034378,-0.990524,RedDefault,Outside,77.173910,0.000237,0.991742,-33.724947,0.548746,0.548746,normal,499809.977350,661.999970,755.000000,complex,0,8.152166,23.369560,1102.258626,6216.482540,0.495552,1.388483,252.356890,0,0,0,1,irregular,0.412676,variable,Ended_to_Ended,0.666667,low,0.400000,3,2,0,0.616671,1.314974,0.225584,55.711550,78.725100,1.107063,0,0.024704,['quality_research'],0.300000,3.205546,0,222.000000,120.000000,1,3,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,0,886.000000,267.000000,2021.444000,Began,0,0.027039,0.038864,-0.999359,RedDefault,BottomCake,0.000000,0.000000,1.000480,0.000000,0.652229,0.652229,outlier,83886.000000,246.000000,341.000000,drag,1,0.000000,0.000000,0.000000,2021.444000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.902079,variable,start_Began,0.000000,high,1.000000,37,0,1,0.674698,1.023799,0.998899,0.000000,0.000000,-5.918224,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,1,915.000000,312.000000,2021.477290,Moved,0,0.030914,0.039551,-0.991760,RedDefault,BottomCake,0.543478,-0.007450,0.993030,1608.141159,0.636834,0.636834,outlier,83886.000000,246.000000,341.000000,drag,0,0.543478,0.543478,53.535035,4042.921290,0.998337,0.998337,53.535035,0,1,0,1,deliberate,0.902079,variable,Began_to_Moved,0.027027,high,1.000000,37,1,1,0.674698,1.023799,0.998899,0.033290,0.033290,0.156893,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,1608.141159,0,29.000000,45.000000,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,2,956.000000,348.000000,2021.510620,Moved,0,0.032791,0.031143,-0.989044,RedDefault,BottomCake,1.086957,-0.002952,0.990078,28.878796,0.627832,0.627832,outlier,83886.000000,246.000000,341.000000,drag,0,-0.000000,0.543478,108.096927,6064.431910,0.720554,-0.277782,54.561891,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.054054,high,1.000000,37,2,1,0.674698,1.023799,0.998899,0.000040,0.033330,0.164192,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,1637.019955,0,41.000000,36.000000,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,3,1012.000000,391.999969,2021.544000,Moved,0,0.039200,0.039673,-0.988739,RedDefault,BottomCake,1.630435,0.000233,0.990311,496.531117,0.622220,0.622220,outlier,83886.000000,246.000000,341.000000,drag,0,0.000000,0.543478,179.314883,8085.975910,0.665969,-0.054585,71.217956,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.081081,high,1.000000,37,3,1,0.674698,1.023799,0.998899,0.000050,0.033380,0.173317,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,2133.551072,0,56.000000,43.999969,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,4,1074.000000,436.999969,2021.577270,Moved,0,0.032715,0.033554,-0.988281,RedDefault,BottomIcing,2.173913,-0.000919,0.989392,169.105252,0.612864,0.612864,outlier,83886.000000,246.000000,341.000000,drag,0,0.000000,0.543478,255.924282,10107.553180,0.627837,-0.038132,76.609399,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.108108,high,1.000000,37,4,1,0.674698,1.023799,0.998899,-0.000110,0.033270,0.153243,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,2302.656323,0,62.000000,45.000000,1,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,5,1123.000000,466.999969,2021.610600,Moved,0,0.032516,0.036850,-0.989502,RedDefault,BottomIcing,2.717391,0.001330,0.990722,-578.854570,0.616339,0.616339,outlier,83886.000000,246.000000,341.000000,drag,0,-0.000000,0.543478,313.378611,12129.163780,0.549374,-0.078462,57.454330,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.135135,high,1.000000,37,5,1,0.674698,1.023799,0.998899,0.000060,0.033330,0.164192,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,1723.801754,0,49.000000,30.000000,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,6,1146.000000,475.000031,2021.644000,Moved,0,0.028091,0.037659,-0.988022,RedDefault,BottomIcing,3.260870,-0.001583,0.989138,-994.711802,0.615526,0.615526,outlier,83886.000000,246.000000,341.000000,drag,0,0.000000,0.543478,337.730223,14150.807780,0.334739,-0.214635,24.351612,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.162162,high,1.000000,37,6,1,0.674698,1.023799,0.998899,0.000070,0.033400,0.176967,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,729.089952,0,23.000000,8.000062,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,7,1148.000000,474.000000,2021.677370,Moved,0,0.032349,0.036453,-0.989792,RedDefault,BottomIcing,3.804348,0.001853,0.990991,-662.081227,0.607373,0.607373,outlier,83886.000000,246.000000,341.000000,drag,0,-0.000000,0.543478,339.966305,16172.485150,-0.463660,-0.798399,2.236082,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.189189,high,1.000000,37,7,1,0.674698,1.023799,0.998899,-0.000030,0.033370,0.171492,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,67.008726,0,2.000000,-1.000031,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
1,8,1131.000000,453.000000,2021.710690,Moved,0,0.034454,0.034866,-0.988266,RedDefault,BottomIcing,4.347826,-0.001510,0.989481,743.870748,0.599921,0.599921,outlier,83886.000000,246.000000,341.000000,drag,0,0.000000,0.543478,366.984817,18194.195840,-2.251318,-1.787658,27.018512,0,1,0,1,deliberate,0.902079,variable,Moved_to_Moved,0.216216,high,1.000000,37,8,1,0.674698,1.023799,0.998899,-0.000050,0.033320,0.162367,0,182.490729,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,810.879474,0,-17.000000,-21.000000,0,8,enhanced_Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166.json
