# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
# Conversion Time: 2025-05-31T00:00:24.984013
# Dataset: Coloring
# Total Rows: 1655
# Total Sequences: 25
# ML Processing Time: 2025-05-30T23:39:01.432157
# ML Total Sequences: 25
# ML Total Touch Points: 1655
# Quality Distribution: {'high': 1539, 'medium': 116, 'low': 0}
# Behavioral Patterns: {'drag': 1632, 'hold': 21, 'complex': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,1320.000000,340.000031,4675.211430,Ended,1,0.000381,0.002655,-0.988037,Yellow,BottomIcing,71.739130,0.000000,0.988041,0.000000,0.484705,0.484705,normal,1563.997892,45.999938,34.000000,complex,1,0.000000,0.000000,0.000000,4675.211430,0.000000,0.000000,0.000000,0,0,0,1,irregular,0.540000,minimal,start_Ended,0.000000,medium,0.600000,2,0,0,1.000000,0.906082,0.000000,0.000000,0.000000,-0.707106,0,42.596776,"['general_analysis', 'pattern_recognition']",0.300000,0.000000,0,0.000000,0.000000,1,2,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
0,1,1286.000000,385.999969,4675.244630,Ended,2,0.000381,0.002655,-0.988037,Yellow,BottomCake,71.739130,0.000000,0.988041,1722.931672,0.457486,0.457486,normal,1563.997892,45.999938,34.000000,complex,0,0.000000,0.000000,57.201349,9350.456060,2.207305,2.207305,57.201349,0,0,0,1,irregular,0.540000,minimal,Ended_to_Ended,0.500000,medium,0.600000,2,1,0,1.000000,0.906082,0.000000,0.033200,0.033200,0.707106,0,42.596776,"['general_analysis', 'pattern_recognition']",0.300000,1722.931672,0,-34.000000,45.999938,1,2,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
1,0,117.000000,1092.000000,4631.452000,Began,0,0.002106,0.000656,-0.990295,RedDefault,Outside,0.000000,0.000000,0.990298,0.000000,0.731417,0.731417,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,4631.452000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.999044,stationary,start_Began,0.000000,high,1.000000,3,0,1,1.000000,100000000.000000,0.996812,0.000000,0.000000,-1.154691,0,52.052193,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
1,1,117.000000,1092.000000,4631.485350,Stationary,0,0.002106,0.000656,-0.990295,RedDefault,Outside,0.000000,0.000000,0.990298,0.000000,0.731417,0.731417,outlier,0.000000,0.000000,0.000000,hold,0,0.000000,0.000000,0.000000,9262.937350,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.999044,stationary,Began_to_Stationary,0.333333,high,1.000000,3,1,1,1.000000,100000000.000000,0.996812,0.033350,0.033350,0.581249,0,52.052193,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
1,2,117.000000,1092.000000,4631.518550,Ended,0,0.001907,0.001953,-0.991150,Red,Outside,0.000000,0.000856,0.991154,0.000000,0.730428,0.730428,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,13894.455900,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.999044,stationary,Stationary_to_Ended,0.666667,high,1.000000,3,2,1,1.000000,100000000.000000,0.996812,-0.000150,0.033200,0.573442,0,52.052193,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,0,1296.000000,391.999969,4673.844730,Began,1,0.001648,0.001694,-0.990479,Yellow,BottomIcing,69.565216,0.000000,0.990481,0.000000,0.459465,0.459465,normal,999.999380,49.999969,20.000000,drag,1,0.000000,0.000000,0.000000,4673.844730,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.712031,variable,start_Began,0.000000,medium,0.800000,6,0,0,0.314713,2.172641,0.992056,0.000000,0.000000,-2.040931,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,1,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,1,1296.000000,391.999969,4673.878000,Stationary,1,0.001923,0.002457,-0.989151,Yellow,BottomIcing,70.108696,-0.001325,0.989156,0.000000,0.459147,0.459147,normal,999.999380,49.999969,20.000000,drag,0,0.543480,0.543480,0.000000,9347.722730,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.712031,variable,Began_to_Stationary,0.166667,medium,0.800000,6,1,0,0.314713,2.172641,0.992056,0.033270,0.033270,0.409365,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,0,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,2,1311.000000,367.999969,4673.911620,Moved,1,0.002762,0.001968,-0.988586,Yellow,BottomCake,70.108696,-0.000564,0.988592,841.818411,0.467059,0.467059,normal,999.999380,49.999969,20.000000,drag,0,-0.543480,0.000000,28.301943,14021.634350,-1.012197,-1.012197,28.301943,0,1,1,0,interrupted,0.712031,variable,Stationary_to_Moved,0.333333,medium,0.800000,6,2,0,0.314713,2.172641,0.992056,0.000350,0.033620,0.435142,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,841.818411,0,15.000000,-24.000000,1,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,3,1316.000000,342.000000,4673.945000,Moved,1,0.002441,0.001114,-0.989487,Yellow,BottomCake,70.652176,0.000898,0.989490,-48.637877,0.483230,0.483230,normal,999.999380,49.999969,20.000000,drag,0,0.543480,0.543480,54.778318,18695.579350,-1.380808,-0.368611,26.476374,0,1,1,0,interrupted,0.712031,variable,Moved_to_Moved,0.500000,medium,0.800000,6,3,0,0.314713,2.172641,0.992056,-0.000240,0.033380,0.417466,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,793.180534,0,5.000000,-25.999969,0,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,4,1316.000000,342.000000,4673.978000,Stationary,1,0.002121,0.001389,-0.991379,Yellow,BottomCake,71.195650,0.001892,0.991382,-793.180534,0.486798,0.486798,normal,999.999380,49.999969,20.000000,drag,0,-0.000006,0.543474,54.778318,23369.557350,0.000000,1.380808,0.000000,0,1,1,0,interrupted,0.712031,variable,Moved_to_Stationary,0.666667,medium,0.800000,6,4,0,0.314713,2.172641,0.992056,-0.000380,0.033000,0.389479,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,0,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
10,5,1316.000000,342.000000,4674.011000,Canceled,1,0.002014,0.001694,-0.988785,Yellow,BottomIcing,71.195650,-0.002594,0.988788,0.000000,0.486798,0.486798,normal,999.999380,49.999969,20.000000,drag,0,-0.543474,0.000000,54.778318,28043.568350,0.000000,0.000000,0.000000,0,1,1,0,interrupted,0.712031,variable,Stationary_to_Canceled,0.833333,medium,0.800000,6,5,0,0.314713,2.172641,0.992056,0.000000,0.033000,0.389479,0,73.648796,"['general_analysis', 'pattern_recognition']",0.600000,0.000000,0,0.000000,0.000000,1,3,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
11,0,1388.000000,430.000031,4675.911000,Began,0,0.000473,0.001831,-0.989395,Yellow,BottomIcing,71.739130,0.000000,0.989397,0.000000,0.451875,0.451875,normal,214760.025606,260.000031,826.000000,drag,1,0.000000,0.000000,0.000000,4675.911000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.810627,erratic,start_Began,0.000000,high,1.000000,106,0,1,0.560761,0.947306,0.807996,0.000000,0.000000,-4.621133,0,137.343214,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,1,14,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
11,1,1388.000000,430.000031,4675.945000,Stationary,0,0.002319,0.001389,-0.990585,Yellow,BottomIcing,71.739130,0.001192,0.990589,0.000000,0.451875,0.451875,normal,214760.025606,260.000031,826.000000,drag,0,0.000000,0.000000,0.000000,9351.856000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.810627,erratic,Began_to_Stationary,0.009434,high,1.000000,106,1,1,0.560761,0.947306,0.807996,0.034000,0.034000,0.048537,0,137.343214,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,14,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
11,2,1422.000000,435.000000,4675.978000,Moved,0,0.002258,0.001266,-0.990204,Yellow,BottomIcing,71.739130,-0.000382,0.990207,1041.383807,0.457572,0.457572,normal,214760.025606,260.000031,826.000000,drag,0,0.000000,0.000000,34.365676,14027.834000,0.146011,0.146011,34.365676,0,1,0,1,deliberate,0.810627,erratic,Stationary_to_Moved,0.018868,high,1.000000,106,2,1,0.560761,0.947306,0.807996,-0.001000,0.033000,-0.088807,0,137.343214,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,1041.383807,0,34.000000,4.999969,0,14,enhanced_Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a.json
