# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
# Conversion Time: 2025-05-31T00:00:20.804804
# Dataset: Coloring
# Total Rows: 1147
# Total Sequences: 22
# ML Processing Time: 2025-05-30T23:38:47.372023
# ML Total Sequences: 22
# ML Total Touch Points: 1147
# Quality Distribution: {'high': 1049, 'medium': 98, 'low': 0}
# Behavioral Patterns: {'drag': 1114, 'hold': 28, 'complex': 3, 'tap': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
0,0,615.000000,114.000000,5711.875000,Ended,1,0.068726,-0.078781,-0.977631,RedDefault,Outside,6.329114,0.000000,0.983205,0.000000,0.581303,0.581303,outlier,423905.017070,745.000030,569.000000,complex,1,0.000000,0.000000,0.000000,5711.875000,0.000000,0.000000,0.000000,0,0,0,1,irregular,0.559683,smooth,start_Ended,0.000000,medium,0.400000,3,0,0,0.971993,0.905485,0.360282,0.000000,0.000000,-0.908943,0,0.082971,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.300000,0.000000,0,0.000000,0.000000,1,2,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
0,1,1103.000000,762.000000,5735.740720,Ended,1,0.062851,-0.132629,-0.947495,RedDefault,Outside,34.177216,-0.024410,0.958794,33.990241,0.484888,0.484888,normal,423905.017070,745.000030,569.000000,complex,0,27.848102,27.848102,811.201578,11447.615720,0.925323,0.925323,811.201578,0,0,0,1,irregular,0.559683,smooth,Ended_to_Ended,0.333333,medium,0.400000,3,1,0,0.971993,0.905485,0.360282,23.865720,23.865720,1.071210,0,0.082971,"['general_analysis', 'pattern_recognition']",0.300000,33.990241,0,488.000000,648.000000,0,2,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
0,2,1184.000000,16.999970,5744.740000,Ended,1,-0.020355,-0.097275,-0.935654,RedDefault,Door,44.725740,-0.017877,0.940917,49.282026,0.568428,0.568428,outlier,423905.017070,745.000030,569.000000,complex,0,-17.299577,10.548524,1560.592027,17192.355720,-1.462497,-2.387820,749.390449,0,0,0,1,irregular,0.559683,smooth,Ended_to_Ended,0.666667,medium,0.400000,3,2,0,0.971993,0.905485,0.360282,-14.866440,8.999280,-0.162267,0,0.082971,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.300000,83.272267,0,81.000000,-745.000030,1,2,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
1,0,113.000000,483.000000,5706.675290,Began,0,0.064499,-0.077225,-0.984406,RedDefault,Outside,0.000000,0.000000,0.989534,0.000000,0.632262,0.632262,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,5706.675290,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.995485,stationary,start_Began,0.000000,high,1.000000,3,0,1,1.000000,100000000.000000,0.984948,0.000000,0.000000,-1.154504,0,51.918923,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
1,1,113.000000,483.000000,5706.709000,Stationary,0,0.034744,-0.083496,-1.031448,RedDefault,Outside,0.000000,0.045871,1.035405,0.000000,0.632262,0.632262,outlier,0.000000,0.000000,0.000000,hold,0,0.000000,0.000000,0.000000,11413.384290,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.995485,stationary,Began_to_Stationary,0.333333,high,1.000000,3,1,1,1.000000,100000000.000000,0.984948,0.033710,0.033710,0.595683,0,51.918923,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
1,2,113.000000,483.000000,5706.742000,Ended,0,0.093765,-0.084366,-0.955032,Violet,Outside,0.000000,-0.072080,0.963326,0.000000,0.632690,0.632690,outlier,0.000000,0.000000,0.000000,hold,1,0.000000,0.000000,0.000000,17120.126290,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.995485,stationary,Stationary_to_Ended,0.666667,high,1.000000,3,2,1,1.000000,100000000.000000,0.984948,-0.000710,0.033000,0.558821,0,51.918923,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
10,0,1103.000000,481.000031,5739.507000,Began,0,0.039795,-0.073044,-0.918152,RedDefault,Door,34.177216,0.000000,0.921912,0.000000,0.480314,0.480314,normal,27750.003441,250.000031,111.000000,drag,1,0.000000,0.000000,0.000000,5739.507000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.726895,erratic,start_Began,0.000000,medium,1.000000,89,0,1,0.298251,0.973396,0.791398,0.000000,0.000000,-4.244896,0,125.931925,"['general_analysis', 'pattern_recognition']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
10,1,1103.000000,481.000031,5739.540530,Stationary,0,0.035889,-0.085922,-1.009766,RedDefault,Door,34.599155,0.092138,1.014050,0.000000,0.479989,0.479989,normal,27750.003441,250.000031,111.000000,drag,0,0.421940,0.421940,0.000000,11479.047530,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.726895,erratic,Began_to_Stationary,0.011236,medium,1.000000,89,1,1,0.298251,0.973396,0.791398,0.033530,0.033530,-0.022399,0,125.931925,"['general_analysis', 'pattern_recognition']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
10,2,1105.000000,465.000000,5739.573730,Moved,0,0.035889,-0.085922,-1.009766,RedDefault,Door,35.021095,0.000000,1.014050,485.678958,0.477972,0.477972,normal,27750.003441,250.000031,111.000000,drag,0,0.000000,0.421940,16.124546,17218.621260,-1.446442,-1.446442,16.124546,0,1,0,1,deliberate,0.726895,erratic,Stationary_to_Moved,0.022472,medium,1.000000,89,2,1,0.298251,0.973396,0.791398,-0.000330,0.033200,-0.063956,0,125.931925,"['general_analysis', 'pattern_recognition']",0.900000,485.678958,0,2.000000,-16.000031,0,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
10,3,1105.000000,453.000000,5739.607000,Moved,0,0.009659,-0.072128,-0.949875,RedDefault,Door,35.443040,-0.061391,0.952658,-124.993764,0.474969,0.474969,normal,27750.003441,250.000031,111.000000,drag,0,0.000005,0.421945,28.124546,22958.228260,-1.570796,-0.124355,12.000000,0,1,0,1,deliberate,0.726895,erratic,Moved_to_Moved,0.033708,medium,1.000000,89,3,1,0.298251,0.973396,0.791398,0.000070,0.033270,-0.055141,0,125.931925,"['general_analysis', 'pattern_recognition']",0.900000,360.685194,0,0.000000,-12.000000,0,1,enhanced_Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180.json
