# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
# Conversion Time: 2025-05-31T00:00:21.065151
# Dataset: Coloring
# Total Rows: 1911
# Total Sequences: 38
# ML Processing Time: 2025-05-30T23:38:46.321034
# ML Total Sequences: 38
# ML Total Touch Points: 1911
# Quality Distribution: {'high': 1697, 'medium': 214, 'low': 0}
# Behavioral Patterns: {'drag': 1879, 'complex': 24, 'hold': 4, 'tap': 4}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
1,0,116.384949,886.826050,2300.907230,Began,0,-0.016519,-0.072502,-0.996258,RedDefault,Outside,0.000000,0.000000,0.999029,0.000000,0.697389,0.697389,outlier,0.000000,0.000000,0.000000,drag,1,0.000000,0.000000,0.000000,2300.907230,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998780,stationary,start_Began,0.000000,high,1.000000,5,0,1,1.000000,100000000.000000,0.995934,0.000000,0.000000,-1.788798,0,67.222763,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
1,1,116.384949,886.826050,2300.940670,Moved,0,-0.017743,-0.071477,-0.998200,RedDefault,Outside,0.000000,0.001884,1.000913,0.000000,0.697389,0.697389,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,4601.847900,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998780,stationary,Began_to_Moved,0.200000,high,1.000000,5,1,1,1.000000,100000000.000000,0.995934,0.033440,0.033440,0.459131,0,67.222763,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
1,2,116.384949,886.826050,2300.973880,Stationary,0,-0.019471,-0.080563,-0.965467,RedDefault,Outside,0.000000,-0.031895,0.969018,0.000000,0.696917,0.696917,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,6902.821780,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998780,stationary,Moved_to_Stationary,0.400000,high,1.000000,5,2,1,1.000000,100000000.000000,0.995934,-0.000230,0.033210,0.443670,0,67.222763,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
1,3,116.384949,886.826050,2301.007000,Stationary,0,-0.025085,-0.052204,-1.037770,RedDefault,Outside,0.000000,0.070367,1.039385,0.000000,0.696917,0.696917,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,9203.828780,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998780,stationary,Stationary_to_Stationary,0.600000,high,1.000000,5,3,1,1.000000,100000000.000000,0.995934,-0.000090,0.033120,0.437620,0,67.222763,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
1,4,116.384949,886.826050,2301.040280,Ended,0,-0.016519,-0.039968,-1.053158,Red,Outside,0.000000,0.014660,1.054045,0.000000,0.696917,0.696917,outlier,0.000000,0.000000,0.000000,drag,1,0.000000,0.000000,0.000000,11504.869060,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998780,stationary,Stationary_to_Ended,0.800000,high,1.000000,5,4,1,1.000000,100000000.000000,0.995934,0.000160,0.033280,0.448376,0,67.222763,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,0,178.381744,347.870972,2322.492430,Began,0,-0.018967,-0.066384,-0.997481,Blue,Outside,27.426159,0.000000,0.999868,0.000000,0.622735,0.622735,outlier,22.076762,2.399780,9.199494,drag,1,0.000000,0.000000,0.000000,2322.492430,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.752700,stationary,start_Began,0.000000,medium,1.000000,6,0,1,0.313531,9.122627,0.862137,0.000000,0.000000,-1.954051,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,1,178.381744,347.870972,2322.536620,Moved,0,-0.014378,-0.065665,-0.994529,Blue,Outside,27.426159,-0.003069,0.996798,0.000000,0.622735,0.622735,outlier,22.076762,2.399780,9.199494,drag,0,0.000000,0.000000,0.000000,4645.029050,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.752700,stationary,Began_to_Moved,0.166667,medium,1.000000,6,1,1,0.313531,9.122627,0.862137,0.044190,0.044190,0.968923,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,2,178.381744,347.870972,2322.569820,Stationary,0,-0.022638,-0.068112,-1.004319,Blue,Outside,27.426159,0.010082,1.006880,0.000000,0.622735,0.622735,outlier,22.076762,2.399780,9.199494,drag,0,0.000000,0.000000,0.000000,6967.598870,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.752700,stationary,Moved_to_Stationary,0.333333,medium,1.000000,6,2,1,0.313531,9.122627,0.862137,-0.010990,0.033200,0.241983,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,3,178.381744,347.870972,2322.603000,Stationary,0,-0.015801,-0.071278,-0.984847,Blue,Outside,27.426159,-0.019331,0.987549,0.000000,0.622735,0.622735,outlier,22.076762,2.399780,9.199494,drag,0,0.000000,0.000000,0.000000,9290.201870,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.752700,stationary,Stationary_to_Stationary,0.500000,medium,1.000000,6,3,1,0.313531,9.122627,0.862137,-0.000020,0.033180,0.240660,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,4,183.081482,349.770874,2322.636470,Moved,0,-0.020190,-0.068525,-0.997481,Blue,Outside,27.426159,0.012487,1.000036,151.456098,0.619706,0.619706,outlier,22.076762,2.399780,9.199494,drag,0,0.000000,0.000000,5.069237,11612.838340,0.384171,0.384171,5.069237,0,1,0,1,deliberate,0.752700,stationary,Stationary_to_Moved,0.666667,medium,1.000000,6,4,1,0.313531,9.122627,0.862137,0.000290,0.033470,0.259842,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,151.456098,0,4.699738,1.899902,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
10,5,187.581238,350.270752,2322.669680,Ended,0,-0.016519,-0.062514,-1.006047,Violet,Outside,27.426159,0.008087,1.008123,-15.128629,0.621806,0.621806,outlier,22.076762,2.399780,9.199494,drag,1,0.000000,0.000000,9.596674,13935.508020,0.110636,-0.273534,4.527437,0,1,0,1,deliberate,0.752700,stationary,Moved_to_Ended,0.833333,medium,1.000000,6,5,1,0.313531,9.122627,0.862137,-0.000260,0.033210,0.242644,0,66.145593,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,136.327468,0,4.499756,0.499878,0,1,enhanced_Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1.json
