# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
# Conversion Time: 2025-05-31T00:00:23.208889
# Dataset: Coloring
# Total Rows: 1729
# Total Sequences: 13
# ML Processing Time: 2025-05-30T23:38:55.193418
# ML Total Sequences: 13
# ML Total Touch Points: 1729
# Quality Distribution: {'high': 1632, 'medium': 97, 'low': 0}
# Behavioral Patterns: {'drag': 1727, 'tap': 2}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
1,0,83.386670,221.881470,2407.208000,Began,0,-0.015097,-0.065359,-1.000648,RedDefault,Outside,0.000000,0.000000,1.002893,0.000000,0.727379,0.727379,outlier,0.000000,0.000000,0.000000,drag,1,0.000000,0.000000,0.000000,2407.208000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998765,stationary,start_Began,0.000000,high,1.000000,5,0,1,1.000000,100000000.000000,0.995884,0.000000,0.000000,-1.788796,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
1,1,83.386670,221.881470,2407.241210,Moved,0,-0.018248,-0.066384,-1.009932,RedDefault,Outside,0.000000,0.009382,1.012276,0.000000,0.727379,0.727379,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,4814.449210,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998765,stationary,Began_to_Moved,0.200000,high,1.000000,5,1,1,1.000000,100000000.000000,0.995884,0.033210,0.033210,0.444509,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
1,2,83.386670,221.881470,2407.274410,Stationary,0,-0.016519,-0.071278,-0.992388,RedDefault,Outside,0.000000,-0.017194,0.995081,0.000000,0.727379,0.727379,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,7221.723620,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998765,stationary,Moved_to_Stationary,0.400000,high,1.000000,5,2,1,1.000000,100000000.000000,0.995884,-0.000010,0.033200,0.443837,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
1,3,83.386670,221.881470,2407.307860,Stationary,0,-0.017024,-0.071477,-0.991363,RedDefault,Outside,0.000000,-0.000999,0.994082,0.000000,0.728857,0.728857,outlier,0.000000,0.000000,0.000000,drag,0,0.000000,0.000000,0.000000,9629.031480,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998765,stationary,Stationary_to_Stationary,0.600000,high,1.000000,5,3,1,1.000000,100000000.000000,0.995884,0.000250,0.033450,0.460649,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
1,4,83.386670,221.881470,2407.341000,Ended,0,-0.012130,-0.067408,-0.995753,Pink,Outside,0.000000,0.004023,0.998106,0.000000,0.728857,0.728857,outlier,0.000000,0.000000,0.000000,drag,1,0.000000,0.000000,0.000000,12036.372480,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.998765,stationary,Stationary_to_Ended,0.800000,high,1.000000,5,4,1,1.000000,100000000.000000,0.995884,-0.000310,0.033140,0.439802,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
10,0,857.346436,512.857239,2453.444340,Began,0,-0.016825,-0.069749,-0.995034,Green,Wall,70.886080,0.000000,0.997618,0.000000,0.474552,0.474552,normal,256397.988971,525.756248,487.674640,drag,1,0.000000,0.000000,0.000000,2453.444340,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.831345,variable,start_Began,0.000000,high,1.000000,245,0,1,0.568100,1.475283,0.869718,0.000000,0.000000,-6.874855,0,204.902251,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,1,20,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
10,1,857.346436,512.857239,2453.488770,Moved,0,-0.016321,-0.066582,-1.007072,Green,Wall,71.308014,0.011785,1.009402,0.000000,0.470570,0.470570,normal,256397.988971,525.756248,487.674640,drag,0,0.421934,0.421934,0.000000,4906.933110,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.831345,variable,Began_to_Moved,0.004082,high,1.000000,245,1,1,0.568100,1.475283,0.869718,0.044430,0.044430,2.228952,0,204.902251,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,20,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
10,2,857.346436,512.857239,2453.522000,Stationary,0,-0.015801,-0.069749,-0.995340,Green,Wall,71.729960,-0.011496,0.997906,0.000000,0.467972,0.467972,normal,256397.988971,525.756248,487.674640,drag,0,0.000012,0.421946,0.000000,7360.455110,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.831345,variable,Moved_to_Stationary,0.008163,high,1.000000,245,2,1,0.568100,1.475283,0.869718,-0.011200,0.033230,-0.065953,0,204.902251,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,20,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
10,3,857.346436,512.857239,2453.555180,Stationary,0,-0.016825,-0.069550,-0.997481,Green,Wall,71.729960,0.002139,1.000045,0.000000,0.467972,0.467972,normal,256397.988971,525.756248,487.674640,drag,0,-0.421946,0.000000,0.000000,9814.010290,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.831345,variable,Stationary_to_Stationary,0.012245,high,1.000000,245,3,1,0.568100,1.475283,0.869718,-0.000050,0.033180,-0.076199,0,204.902251,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,20,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
10,4,857.346436,512.857239,2453.588380,Stationary,0,-0.015296,-0.065359,-1.009014,Green,Wall,71.729960,0.011200,1.011245,0.000000,0.467972,0.467972,normal,256397.988971,525.756248,487.674640,drag,0,0.000000,0.000000,0.000000,12267.598670,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.831345,variable,Stationary_to_Stationary,0.016327,high,1.000000,245,4,1,0.568100,1.475283,0.869718,0.000020,0.033200,-0.072101,0,204.902251,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,20,enhanced_Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1.json
