# Enhanced Coloring Touch Data - CSV Export
# Source File: enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
# Conversion Time: 2025-05-31T00:00:20.014679
# Dataset: Coloring
# Total Rows: 1947
# Total Sequences: 57
# ML Processing Time: 2025-05-30T23:38:43.665142
# ML Total Sequences: 57
# ML Total Touch Points: 1947
# Quality Distribution: {'high': 1876, 'medium': 71, 'low': 0}
# Behavioral Patterns: {'drag': 1907, 'tap': 28, 'complex': 12}
#
Touchdata_id,event_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc,acc_change,acc_magnitude,acceleration,anomaly_confidence,anomaly_score,anomaly_type,bbox_area,bbox_height,bbox_width,behavioral_pattern,color_change,completion_acceleration,completion_rate,cumulative_distance,cumulative_time,direction_angle,direction_change,distance,distance_outlier,has_began,has_canceled,has_ended,interaction_style,ml_quality_score,movement_type,phase_transition,position_ratio,quality_tier,sequence_completeness,sequence_length,sequence_position,sequence_valid_pattern,spatial_consistency,spatial_smoothness,temporal_consistency,time_acceleration,time_diff,time_diff_normalized,time_gap_outlier,time_rhythm_consistency,usage_recommendations,user_intent_confidence,velocity,velocity_outlier,x_diff,y_diff,zone_change,zone_stability,source_file
1,0,56.388077,890.825745,2703.815000,Began,0,-0.006531,-0.092279,-0.966492,RedDefault,Super outside,0.000000,0.000000,0.970909,0.000000,0.739324,0.739324,outlier,4.749443,9.499206,0.499983,drag,1,0.000000,0.000000,0.000000,2703.815000,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.821187,stationary,start_Began,0.000000,high,1.000000,5,0,1,0.408073,1.591549,0.995884,0.000000,0.000000,-1.788796,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
1,1,56.388077,890.825745,2703.848140,Moved,0,-0.005812,-0.100845,-0.954041,RedDefault,Super outside,0.000000,-0.011535,0.959374,0.000000,0.739324,0.739324,outlier,4.749443,9.499206,0.499983,drag,0,0.000000,0.000000,0.000000,5407.663140,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.821187,stationary,Began_to_Moved,0.200000,high,1.000000,5,1,1,0.408073,1.591549,0.995884,0.033140,0.033140,0.439802,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
1,2,56.888060,896.325256,2703.881590,Moved,0,-0.049252,-0.080257,-0.993611,RedDefault,Super outside,0.000000,0.038690,0.998063,165.087903,0.738324,0.738324,outlier,4.749443,9.499206,0.499983,drag,0,0.000000,0.000000,5.522192,8111.544730,1.480131,1.480131,5.522192,0,1,0,1,deliberate,0.821187,stationary,Moved_to_Moved,0.400000,high,1.000000,5,2,1,0.408073,1.591549,0.995884,0.000310,0.033450,0.460649,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,165.087903,0,0.499983,5.499511,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
1,3,56.888060,900.324951,2703.914790,Moved,0,-0.032932,-0.057099,-1.036332,RedDefault,Super outside,0.000000,0.040363,1.038427,-44.615198,0.738324,0.738324,outlier,4.749443,9.499206,0.499983,drag,0,0.000000,0.000000,9.521887,10815.459520,1.570796,0.090665,3.999695,0,1,0,1,deliberate,0.821187,stationary,Moved_to_Moved,0.600000,high,1.000000,5,3,1,0.408073,1.591549,0.995884,-0.000250,0.033200,0.443837,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,120.472705,0,0.000000,3.999695,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
1,4,56.888060,900.324951,2703.948000,Ended,0,-0.036098,-0.033651,-1.093447,Red,Super outside,0.000000,0.056133,1.094560,-120.472705,0.737825,0.737825,outlier,4.749443,9.499206,0.499983,drag,1,0.000000,0.000000,9.521887,13519.407520,0.000000,-1.570796,0.000000,0,1,0,1,deliberate,0.821187,stationary,Moved_to_Ended,0.800000,high,1.000000,5,4,1,0.408073,1.591549,0.995884,0.000010,0.033210,0.444509,0,67.247983,"['timing_analysis', 'spatial_analysis', 'completion_tracking', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
10,0,29.389480,92.892210,2719.100830,Began,0,-0.018049,-0.083515,-1.007271,Red,Super outside,27.848100,0.000000,1.010888,0.000000,0.632103,0.632103,outlier,11735.847880,83.593016,140.392684,tap,1,0.000000,0.000000,0.000000,2719.100830,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.700000,minimal,start_Began,0.000000,medium,1.000000,2,0,1,1.000000,0.767888,0.000000,0.000000,0.000000,-0.707106,0,42.278414,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
10,1,-111.003204,9.299194,2719.134280,Ended,0,-0.041191,-0.101564,-1.008494,Red,Super outside,27.848100,0.003544,1.014432,4884.749343,0.654441,0.654441,outlier,11735.847880,83.593016,140.392684,tap,0,0.000000,0.000000,163.394914,5438.235110,-2.604545,-2.604545,163.394914,0,1,0,1,deliberate,0.700000,minimal,Began_to_Ended,0.500000,medium,1.000000,2,1,1,1.000000,0.767888,0.000000,0.033450,0.033450,0.707106,0,42.278414,"['general_analysis', 'pattern_recognition', 'outlier_investigation']",0.900000,4884.749343,0,-140.392684,-83.593016,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
11,0,964.340800,512.857239,2722.178470,Began,0,-0.001637,-0.099116,-0.975058,Red,Wall,27.848100,0.000000,0.980084,0.000000,0.485697,0.485697,normal,22054.351640,73.493839,300.084360,drag,1,0.000000,0.000000,0.000000,2722.178470,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.871100,variable,start_Began,0.000000,high,1.000000,38,0,1,0.574171,0.821357,0.996164,0.000000,0.000000,-6.000549,0,184.982785,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,1,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
11,1,964.340800,512.857239,2722.212000,Moved,0,-0.003365,-0.098092,-0.985765,Red,Wall,27.848100,0.010555,0.990639,0.000000,0.485697,0.485697,normal,22054.351640,73.493839,300.084360,drag,0,0.000000,0.000000,0.000000,5444.390470,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.871100,variable,Began_to_Moved,0.026316,high,1.000000,38,1,1,0.574171,0.821357,0.996164,0.033530,0.033530,0.201923,0,184.982785,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
11,2,964.340800,512.857239,2722.245000,Stationary,0,-0.007235,-0.091774,-1.007990,Red,Wall,27.848100,0.021546,1.012185,0.000000,0.485368,0.485368,normal,22054.351640,73.493839,300.084360,drag,0,0.000000,0.000000,0.000000,8166.635470,0.000000,0.000000,0.000000,0,1,0,1,deliberate,0.871100,variable,Moved_to_Stationary,0.052632,high,1.000000,38,2,1,0.574171,0.821357,0.996164,-0.000530,0.033000,0.103882,0,184.982785,"['timing_analysis', 'spatial_analysis', 'completion_tracking']",0.900000,0.000000,0,0.000000,0.000000,0,1,enhanced_Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8.json
