Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags,time_diff,time_diff_normalized,cumulative_time,time_acceleration,sequence_position,sequence_length,position_ratio,time_rhythm_consistency,x_diff,y_diff,distance,velocity,acceleration,direction_angle,direction_change,cumulative_distance,spatial_smoothness,bbox_width,bbox_height,bbox_area,phase_transition,completion_rate,completion_acceleration,zone_change,zone_stability,color_change,has_began,has_ended,has_canceled,sequence_valid_pattern,velocity_outlier,distance_outlier,time_gap_outlier
0,0,984.0,846.99994,2030.5768,Ended,1,RedDefault,38.586956,TopCake,orphaned_events,41,Erratic,Technical,Limited,,0.0,0.0,2053.5903,2132.3154296875,78.72509765625,2.0,,0.0,-0.8377998670133812,2030.5768,0.0,0,3,0.0,0.02470448385411383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314973529363639,755.0,661.9999700000001,499809.97735000006,start_Ended,0.0,0.0,1,3,1,0,1,0,0,0,0,0
0,1,1517.0,184.99997,2053.5903,Ended,0,RedDefault,53.80435,Bound,orphaned_events,41,Erratic,Technical,Limited,,0.0,1.0,2021.444,2022.6439208984375,1.199951171875,37.0,,23.013499999999794,-0.2692632278367375,4084.1670999999997,23.013499999999794,1,3,0.3333333322222222,0.02470448385411383,533.0,-661.9999700000001,849.9017356612475,36.93057272000996,36.93057272000996,-0.8929315210708193,-0.8929315210708193,849.9017356612475,1.314973529363639,755.0,661.9999700000001,499809.97735000006,Ended_to_Ended,15.217393999999999,15.217393999999999,1,3,0,0,1,0,0,0,0,0
0,2,1739.0,304.99997,2132.3154,Ended,0,RedDefault,77.17391,Outside,orphaned_events,41,Erratic,Technical,Limited,,0.0,2.0,2027.1104,2030.5767822265625,3.4664306640625,105.0,,78.72510000000011,1.1070630948501186,6216.4825,55.71160000000032,2,3,0.6666666644444444,0.02470448385411383,222.0,120.00000000000003,252.3568901377571,3.205545500808526,-33.725027219201436,0.4955516734858286,1.388483194556648,1102.2586257990047,1.314973529363639,755.0,661.9999700000001,499809.97735000006,Ended_to_Ended,23.369560000000007,8.152166000000008,1,3,0,0,1,0,0,0,0,0
1,0,886.0,267.0,2021.444,Began,0,RedDefault,0.0,BottomCake,,90,Quick,Behavioral,"Timing,Spatial",,0.0,3.0,2031.3715,2033.0379638671875,1.66650390625,51.0,,0.0,-5.918088876919375,2021.444,0.0,0,37,0.0,182.48961450621215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0237989540961445,341.0,246.0,83886.0,start_Began,0.0,0.0,1,8,1,1,1,0,1,0,0,0
1,1,915.0,312.0,2021.4773,Moved,0,RedDefault,0.54347825,BottomCake,,90,Quick,Behavioral,"Timing,Spatial",,0.0,4.0,2051.6238,2051.95703125,0.333251953125,11.0,,0.03330000000005384,0.1588152861473156,4042.9213,0.03330000000005384,1,37,0.027027027019722424,182.48961450621215,29.0,45.0,53.53503525729669,1607.6582336524862,1607.6582336524862,0.9983365129768454,0.9983365129768454,53.53503525729669,1.0237989540961445,341.0,246.0,83886.0,Began_to_Moved,0.54347825,0.54347825,0,8,0,1,1,0,1,0,0,0
1,2,956.0,348.0,2021.5106,Moved,0,RedDefault,1.0869565,BottomCake,,90,Quick,Behavioral,"Timing,Spatial",,0.0,5.0,2051.9902,,,5.0,"missing_Ended,has_canceled",0.03330000000005384,0.1588152861473156,6064.4319,0.0,2,37,0.05405405403944485,182.48961450621215,41.0,36.0,54.56189146281496,1638.4947470804586,30.836513427972477,0.7205541358442416,-0.2777823771326039,108.09692672011165,1.0237989540961445,341.0,246.0,83886.0,Moved_to_Moved,0.54347825,0.0,0,8,0,1,1,0,1,0,0,0
1,3,1012.0,391.99997,2021.544,Moved,0,RedDefault,1.6304348,BottomCake,,90,Quick,Behavioral,"Timing,Spatial",,0.0,6.0,2065.8562,2066.856201171875,1.0,31.0,,0.03340000000002874,0.17706424759335596,8085.9759,9.999999997489795e-05,3,37,0.08108108105916727,182.48961450621215,56.0,43.99997000000002,71.21795672441678,2132.273515018573,493.77876793811447,0.6659689061487399,-0.054585229695501614,179.31488344452845,1.0237989540961445,341.0,246.0,83886.0,Moved_to_Moved,0.5434782999999999,4.9999999807148754e-08,0,8,0,1,1,0,1,0,0,0
1,4,1074.0,436.99997,2021.5773,Moved,0,RedDefault,2.173913,BottomIcing,,90,Quick,Behavioral,"Timing,Spatial",,0.0,7.0,2067.5227,2068.72265625,1.199951171875,37.0,,0.03329999999982647,0.15881528610582227,10107.5532,-0.00010000000020227162,4,37,0.1081081080788897,182.48961450621215,62.0,45.0,76.60939890117922,2300.581858731527,168.30834371295396,0.6278365938117894,-0.03813231233695058,255.92428234570764,1.0237989540961445,341.0,246.0,83886.0,Moved_to_Moved,0.5434782000000002,-9.999999961429751e-08,1,8,0,1,1,0,1,0,0,0
1,5,1123.0,466.99997,2021.6106,Moved,0,RedDefault,2.7173913,BottomIcing,,90,Quick,Behavioral,"Timing,Spatial",,0.0,8.0,2078.0889,2079.48876953125,1.39990234375,43.0,,0.03330000000005384,0.1588152861473156,12129.1638,2.2737367544323206e-13,5,37,0.13513513509861214,182.48961450621215,49.0,30.0,57.4543296888929,1725.354727785367,-575.2271309461601,0.5493744847715509,-0.07846210904023843,313.37861203460056,1.0237989540961445,341.0,246.0,83886.0,Moved_to_Moved,0.5434782999999999,9.999999961429751e-08,0,8,0,1,1,0,1,0,0,0
1,6,1146.0,475.00003,2021.644,Moved,0,RedDefault,3.2608695,BottomIcing,,90,Quick,Behavioral,"Timing,Spatial",,0.0,9.0,2080.8552,2080.888671875,0.033447265625,2.0,improper_sequence_order,0.03340000000002874,0.17706424759335596,14150.8078,9.999999997489795e-05,6,37,0.16216216211833454,182.48961450621215,23.0,8.000059999999962,24.351611035075265,729.0899324597301,-996.2647953256369,0.33473916446501384,-0.2146353203065371,337.73022306967584,1.0237989540961445,341.0,246.0,83886.0,Moved_to_Moved,0.5434782,-9.999999983634211e-08,0,8,0,1,1,0,1,0,0,0
