Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags
1,0,476.99997,809.0,10.748639,Began,0,RedDefault,0.0,Super outside,improper_sequence_order,70,Quick,Behavioral,"Timing,Spatial",,0,1,10.748639,10.7820405960083,0.0334014892578125,2,improper_sequence_order
1,1,476.99997,809.0,10.782041,Ended,0,RedDefault,0.0,Super outside,improper_sequence_order,70,Quick,Behavioral,"Timing,Spatial",,0,2,11.416827,27.75484275817871,16.33801555633545,327,
2,0,789.00006,540.0,11.416827,Began,0,RedDefault,0.0,Outside,,80,Quick,Spatial,Timing,,0,3,27.821743,29.259721755981445,1.437978744506836,30,
2,1,781.0,384.0,11.450234,Moved,0,RedDefault,0.42194092,Outside,,80,Quick,Spatial,Timing,,0,4,30.562897,30.629858016967773,0.06696128845214844,2,improper_sequence_order
2,2,789.00006,389.0,11.517074,Moved,0,RedDefault,0.42194092,Outside,,80,Quick,Spatial,Timing,,0,5,30.76325,34.872989654541016,4.109739303588867,83,
2,3,848.99994,761.0,11.5504875,Moved,0,RedDefault,0.42194092,Outside,,80,Quick,Spatial,Timing,,0,6,35.140213,35.24037170410156,0.10015869140625,3,
2,4,855.0,838.0,11.617277,Moved,0,RedDefault,0.42194092,Outside,,80,Quick,Spatial,Timing,,0,7,35.84176,42.55695724487305,6.715198516845703,135,
2,5,846.0,741.0,11.650687,Moved,0,RedDefault,0.42194092,Outside,,80,Quick,Spatial,Timing,,0,8,51.577755,,,5,missing_Ended
2,6,790.0,436.0,11.717549,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,7,773.0,327.0,11.750967,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,8,791.0,496.0,11.817794,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,9,832.0,741.0,11.851192,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,10,846.0,815.0,11.884608,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,11,824.0,665.0,11.951418,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,12,782.0,385.0,12.018269,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,13,791.0,367.0,12.051671,Moved,0,RedDefault,0.84388185,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,14,843.0,653.0,12.118511,Moved,0,RedDefault,0.84388185,Bound,,80,Quick,Spatial,Timing,,,,,,,,
2,15,893.00006,886.0,12.151934,Moved,0,RedDefault,1.2658228,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,16,906.0,857.0,12.21874,Moved,0,RedDefault,1.2658228,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,17,874.0,591.0,12.252174,Moved,0,RedDefault,1.2658228,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,18,856.0,158.0,12.31903,Moved,0,RedDefault,1.6877637,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,19,909.0,309.0,12.352218,Moved,0,RedDefault,1.6877637,Bound,,80,Quick,Spatial,Timing,,,,,,,,
2,20,931.0,692.0,12.419279,Moved,0,RedDefault,2.1097047,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,21,959.0,897.0,12.452694,Moved,0,RedDefault,2.5316455,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,22,961.0,755.0,12.519524,Moved,0,RedDefault,2.5316455,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,23,890.0,317.0,12.552918,Moved,0,RedDefault,2.9535866,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,24,878.0,148.0,12.619778,Moved,0,RedDefault,3.3755274,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,25,908.0,399.00006,12.653207,Moved,0,RedDefault,3.7974682,Bound,,80,Quick,Spatial,Timing,,,,,,,,
2,26,946.0,833.0,12.720072,Moved,0,RedDefault,4.2194095,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,27,952.0,972.0,12.753455,Moved,0,RedDefault,4.6413503,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,28,896.0,710.0,12.820181,Moved,0,RedDefault,4.6413503,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,29,793.0,279.0,12.853589,Moved,0,RedDefault,5.063291,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,30,783.0,235.0,12.920447,Moved,0,RedDefault,5.063291,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,31,858.0,596.0,12.953875,Moved,0,RedDefault,5.063291,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,32,928.0,969.0,13.020682,Moved,0,RedDefault,5.4852324,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,33,922.0,943.0,13.054052,Moved,0,RedDefault,5.4852324,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,34,819.0,450.0,13.120828,Moved,0,RedDefault,5.4852324,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,35,789.00006,115.0,13.154263,Moved,0,RedDefault,5.4852324,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,36,826.0,256.0,13.221085,Moved,0,RedDefault,5.4852324,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,37,878.0,700.0,13.254501,Moved,0,RedDefault,5.4852324,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,38,902.0,936.0,13.321354,Moved,0,RedDefault,5.907173,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,39,885.0,690.0,13.354752,Moved,0,RedDefault,5.907173,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,40,847.0,266.0,13.421524,Moved,0,RedDefault,6.329114,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,41,854.0,102.99994,13.454921,Moved,0,RedDefault,6.329114,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,42,882.0,361.0,13.521817,Moved,0,RedDefault,6.329114,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,43,933.99994,853.0,13.555266,Moved,0,RedDefault,6.329114,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,44,951.0,928.0,13.622052,Moved,0,RedDefault,6.329114,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,45,914.00006,570.0,13.655449,Moved,0,RedDefault,6.329114,Wall,,80,Quick,Spatial,Timing,,,,,,,,
2,46,890.99994,135.0,13.722273,Moved,0,RedDefault,6.751055,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,47,910.0,196.0,13.755723,Moved,0,RedDefault,6.751055,Bound,,80,Quick,Spatial,Timing,,,,,,,,
2,48,952.0,703.0,13.822521,Moved,0,RedDefault,7.1729956,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,49,968.0,906.0,13.855963,Moved,0,RedDefault,7.5949364,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,50,964.0,809.0,13.922766,Moved,0,RedDefault,7.5949364,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,51,891.99994,306.0,13.956168,Moved,0,RedDefault,8.016877,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,52,894.00006,43.0,14.022987,Moved,0,RedDefault,8.016877,Bound,,80,Quick,Spatial,Timing,,,,,,,,
2,53,922.0,258.0,14.056456,Moved,0,RedDefault,8.016877,Wall,,80,Quick,Spatial,Timing,,,,,,,,
2,54,961.0,772.0,14.123337,Moved,0,RedDefault,8.438819,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,55,967.0,895.0,14.156719,Moved,0,RedDefault,8.86076,Outside,,80,Quick,Spatial,Timing,,,,,,,,
2,56,949.0,632.0,14.223483,Moved,0,RedDefault,8.86076,Roof,,80,Quick,Spatial,Timing,,,,,,,,
2,57,925.0,262.0,14.256899,Moved,0,RedDefault,9.282701,Wall,,80,Quick,Spatial,Timing,,,,,,,,
2,58,936.00006,128.0,14.323741,Moved,0,RedDefault,9.704641,Wall,,80,Quick,Spatial,Timing,,,,,,,,
2,59,949.0,390.0,14.357134,Moved,0,RedDefault,10.126582,Wall,,80,Quick,Spatial,Timing,,,,,,,,
