Touchdata_id,event_index,x,y,time,touchPhase,fingerId,color,completionPerc,zone,flags,quality_score,interaction_type,anomaly_flag,research_suitability,     ,     fingerId,     seqId,     startTime,     endTime,     durationSec,     nPoints,     flags
0,0,1673.0,1129.0,471.0871,Ended,0,RedDefault,82.70042,Door,orphaned_events,37,Erratic,Technical,Limited,,0,0,471.0871,505.3684387207031,34.281341552734375,7,
0,1,1415.0,660.0,471.65372,Canceled,11,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,1,450.5893,462.3885803222656,11.799285888671875,353,
0,2,1376.0,118.00003,471.68704,Canceled,12,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,2,462.75522,467.2549743652344,4.499755859375,136,
0,3,1223.0,349.00003,471.72037,Canceled,13,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,3,467.5883,,,103,"missing_Ended,has_canceled"
0,4,1373.0,118.00003,472.62033,Ended,0,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,4,471.3204,471.42041015625,0.100006103515625,4,
0,5,1546.0,367.99997,472.65366,Ended,2,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,5,471.48706,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
0,6,2038.0,469.00003,473.32028,Ended,0,RedDefault,83.12236,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,6,471.6204,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
0,7,1240.0,316.99997,474.25357,Ended,0,RedDefault,83.544304,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,7,471.68704,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
0,8,1694.0,270.0,474.48688,Ended,0,RedDefault,83.96624,Roof,orphaned_events,37,Erratic,Technical,Limited,,0,8,472.68698,472.7203063964844,0.0333251953125,2,improper_sequence_order
0,9,1436.0,1370.0,491.48587,Ended,3,RedDefault,86.91983,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,9,473.0203,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
0,10,1650.0,1363.0,491.5192,Ended,4,RedDefault,86.91983,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,10,473.3536,,,27,"missing_Ended,has_canceled"
0,11,1316.0,1258.0,503.1019,Ended,2,RedDefault,88.18565,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,11,474.38687,,,3,"missing_Ended,has_canceled"
0,12,1376.0,1446.0,503.13522,Ended,3,RedDefault,88.18565,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,12,476.35342,477.4200439453125,1.066619873046875,33,
0,13,1849.0,1314.0,503.56854,Ended,0,RedDefault,88.18565,Roof,orphaned_events,37,Erratic,Technical,Limited,,0,13,477.4867,478.6532897949219,1.166595458984375,36,
0,14,1293.0,1536.0,503.60187,Ended,2,RedDefault,88.18565,Roof,orphaned_events,37,Erratic,Technical,Limited,,0,14,479.21994,479.353271484375,0.133331298828125,5,
0,15,889.0,1246.0,505.36844,Ended,0,RedDefault,88.18565,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,15,481.68646,,,4,"missing_Ended,has_canceled"
0,16,1041.0,780.99994,505.40176,Ended,2,RedDefault,88.18565,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,16,481.81976,,,20,"missing_Ended,has_canceled"
0,17,1707.0,465.0,513.83655,Ended,2,RedDefault,89.45148,Outside,orphaned_events,37,Erratic,Technical,Limited,,0,17,482.65308,,,13,"missing_Ended,has_canceled"
0,18,2024.0,306.0,514.7032,Canceled,1,RedDefault,89.45148,Wall,orphaned_events,37,Erratic,Technical,Limited,,0,18,483.08636,,,85,"missing_Ended,has_canceled"
0,19,2019.0,289.99997,514.76984,Ended,1,RedDefault,89.45148,Wall,orphaned_events,37,Erratic,Technical,Limited,,0,19,485.91953,486.086181640625,0.166656494140625,6,
1,0,1209.0,469.99997,450.5893,Began,0,RedDefault,0.0,Wall,,87,Quick,Spatial,Timing,,0,20,490.6526,490.8192443847656,0.166656494140625,6,
1,1,1205.0,514.0,450.62262,Moved,0,RedDefault,0.42194092,Wall,,87,Quick,Spatial,Timing,,0,21,490.95258,491.05255126953125,0.0999755859375,4,
1,2,1191.0,544.0,450.65594,Moved,0,RedDefault,0.84388185,Wall,,87,Quick,Spatial,Timing,,0,22,491.25256,,,8,"missing_Ended,has_canceled"
1,3,1170.0,557.0,450.68927,Moved,0,RedDefault,1.2658228,Wall,,87,Quick,Spatial,Timing,,0,23,496.0856,501.4353332519531,5.3497314453125,158,
1,4,1121.0,565.0,450.7226,Moved,0,RedDefault,1.6877637,Wall,,87,Quick,Spatial,Timing,,0,24,501.5353,,,17,"missing_Ended,has_canceled"
1,5,1032.0,577.0,450.75595,Moved,0,RedDefault,2.1097047,Wall,,87,Quick,Spatial,Timing,,0,25,502.2353,502.4685974121094,0.233306884765625,8,
1,6,933.0,585.0,450.78928,Moved,0,RedDefault,2.5316455,Wall,,87,Quick,Spatial,Timing,,0,26,502.53525,,,18,"missing_Ended,has_canceled"
1,7,869.0,592.0,450.8226,Moved,0,RedDefault,2.9535866,Wall,,87,Quick,Spatial,Timing,,0,27,503.16855,,,11,"missing_Ended,has_canceled"
1,8,848.0,609.0,450.85593,Moved,0,RedDefault,3.3755274,Wall,,87,Quick,Spatial,Timing,,0,28,503.60187,,,14,"missing_Ended,has_canceled"
1,9,847.0,637.0,450.88925,Moved,0,RedDefault,3.7974682,Wall,,87,Quick,Spatial,Timing,,0,29,504.0685,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
1,10,868.0,669.0,450.9226,Moved,0,RedDefault,4.2194095,Wall,,87,Quick,Spatial,Timing,,0,30,504.23517,,,12,"missing_Ended,has_canceled"
1,11,926.0,691.0,450.95593,Moved,0,RedDefault,4.6413503,Wall,,87,Quick,Spatial,Timing,,0,31,504.9018,,,2,"missing_Ended,too_few_points,has_canceled,improper_sequence_order"
1,12,1067.0,694.0,450.98926,Moved,0,RedDefault,5.063291,Wall,,87,Quick,Spatial,Timing,,0,32,505.50177,505.63507080078125,0.13330078125,5,
1,13,1200.0,683.0,451.02258,Moved,0,RedDefault,5.4852324,Wall,,87,Quick,Spatial,Timing,,0,33,505.80173,506.7683410644531,0.96661376953125,30,
1,14,1288.0,650.0,451.0559,Moved,0,RedDefault,5.907173,Wall,,87,Quick,Spatial,Timing,,0,34,513.4699,513.5698852539062,0.0999755859375,4,
1,15,1337.0,604.0,451.08926,Moved,0,RedDefault,6.329114,Wall,,87,Quick,Spatial,Timing,,0,35,513.70325,513.8365478515625,0.13330078125,5,
1,16,1356.0,546.0,451.1226,Moved,0,RedDefault,6.751055,Wall,,87,Quick,Spatial,Timing,,0,36,513.9699,514.1365356445312,0.1666259765625,6,
