Touchdata_id,accx,accy,accz,color,completionPerc,event_index,fingerId,time,touchPhase,x,y,zone,outlier,imputed,duplicate,invalid_phase
1,0.0181121826,0.140533447,-0.9814911,RedDefault,0.0,0,0,450.5893,Began,1209.0,469.999969,Wall,True,False,False,False
1,0.0186157227,0.137939453,-0.981369,RedDefault,0.421940923,1,0,450.62262,Moved,1205.0,514.0,Wall,False,False,False,False
1,0.01751709,0.137374878,-0.9824066,RedDefault,0.843881845,2,0,450.655945,Moved,1191.0,544.0,Wall,False,False,False,False
1,0.01940918,0.138153076,-0.981063843,RedDefault,1.26582277,3,0,450.68927,Moved,1170.0,557.0,Wall,False,False,False,False
1,0.0173339844,0.13923645,-0.9814911,RedDefault,1.68776369,4,0,450.7226,Moved,1121.0,565.0,Wall,False,False,False,False
1,0.01939392,0.139312744,-0.980545044,RedDefault,2.10970473,5,0,450.755951,Moved,1032.0,577.0,Wall,False,False,False,False
1,0.0171813965,0.140655518,-0.9802704,RedDefault,2.53164554,6,0,450.789276,Moved,933.0,585.0,Wall,False,False,False,False
1,0.0182037354,0.13961792,-0.980804443,RedDefault,2.95358658,7,0,450.8226,Moved,869.0,592.0,Wall,False,False,False,False
1,0.0189819336,0.138214111,-0.9811859,RedDefault,3.37552738,8,0,450.855927,Moved,848.0,609.0,Wall,False,False,False,False
1,0.0183410645,0.137084961,-0.9805145,RedDefault,3.79746819,9,0,450.889252,Moved,847.0,637.0,Wall,False,False,False,False
1,0.0173492432,0.13911438,-0.9808197,RedDefault,4.21940947,10,0,450.9226,Moved,868.0,669.0,Wall,False,False,False,False
1,0.0189208984,0.138153076,-0.980728149,RedDefault,4.64135027,11,0,450.955933,Moved,926.0,691.0,Wall,False,False,False,False
1,0.0175628662,0.1386261,-0.980484,RedDefault,5.063291,12,0,450.989258,Moved,1067.0,694.0,Wall,False,False,False,False
1,0.01890564,0.139328,-0.9818878,RedDefault,5.48523235,13,0,451.022583,Moved,1200.0,683.0,Wall,False,False,False,False
