Touchdata_id,accx,accy,accz,color,completionPerc,event_index,fingerId,time,touchPhase,x,y,zone
1,-0.02806,-1.009367,-0.121085,RedDefault,0.0,0,0,5.132004,Began,1041.0,262.0,Wall
1,-0.02806,-1.009367,-0.121085,RedDefault,0.421940923,1,0,5.16539955,Moved,1040.0,258.0,Wall
1,-0.0470005,-1.002779,-0.100467004,RedDefault,0.843881845,2,0,5.19877,Ended,1040.0,254.0,Wall
2,-0.0300425,-0.9879865,-0.0771345,RedDefault,0.843881845,0,0,9.407319,Began,933.999939,705.0,Roof
2,-0.0423645,-1.0201031,0.022814,RedDefault,1.26582277,1,0,9.440712,Moved,931.0,673.0,Roof
2,-0.0493185,-1.003389,0.0451705,RedDefault,1.68776369,2,0,9.507582,Moved,911.999939,513.0,Bound
2,-0.0415105,-1.025837,-0.01952,RedDefault,2.10970473,3,0,9.540979,Moved,915.000061,362.0,Wall
2,-0.0635925,-1.014735,-0.010492,RedDefault,2.53164554,4,0,9.607753,Moved,922.0,222.0,Wall
2,-0.0754265,-1.00116253,-0.023302,RedDefault,2.95358658,5,0,9.641142,Moved,926.0,129.0,Wall
2,-0.0552964956,-1.018395,-0.0407785,RedDefault,3.37552738,6,0,9.707899,Moved,944.0,92.0,Outside
2,-0.0631044954,-1.008757,-0.010004,RedDefault,3.37552738,7,0,9.74129,Ended,946.0,88.0,Outside
3,0.238510013,-0.9743225,-0.182603508,RedDefault,3.37552738,0,0,10.8435717,Began,1291.0,804.0,Roof
3,0.218014017,-1.016443,-0.173209488,RedDefault,3.79746819,1,0,10.9103556,Moved,1289.0,732.0,Roof
3,0.1911435,-1.019249,-0.213622,RedDefault,4.21940947,2,0,10.9437561,Moved,1278.0,569.0,Wall
3,0.1497855,-0.9620004,-0.233142,RedDefault,4.64135027,3,0,10.977129,Moved,1277.0,345.0,Wall
3,0.137189,-0.9691985,-0.219599992,RedDefault,5.063291,4,0,11.0439291,Moved,1285.0,240.0,Wall
3,0.1453935,-0.9534605,-0.211548015,RedDefault,5.48523235,5,0,11.0773411,Moved,1289.0,163.0,Wall
3,0.112178996,-0.954436541,-0.16881749,RedDefault,5.907173,6,0,11.1441259,Ended,1310.0,74.0,Wall
4,0.1976095,-0.984448552,-0.008661999,RedDefault,5.907173,0,0,12.11278,Began,959.0,530.0,Wall
4,0.16405949,-1.002901,-0.131943,RedDefault,6.329114,1,0,12.1461992,Moved,923.0,410.0,Wall
4,0.1533235,-0.9776165,-0.120109,RedDefault,6.751055,2,0,12.213,Moved,897.0,180.0,Outside
4,0.1629615,-1.04694307,-0.129259,RedDefault,7.17299557,3,0,12.2464008,Moved,897.0,158.0,Outside
4,0.168451488,-0.913902044,-0.0613965,RedDefault,7.59493637,4,0,12.3131933,Moved,899.0,272.000061,Outside
4,0.1757715,-1.07649744,-0.0673745,RedDefault,8.016877,5,0,12.3465824,Ended,899.0,272.000061,Outside
5,0.1757715,-1.07649744,-0.0673745,RedDefault,8.016877,0,1,12.3465824,Began,933.999939,575.0,Bound
