Touchdata_id,accx,accy,accz,color,completionPerc,event_index,fingerId,time,touchPhase,x,y,zone
1,0.0244293213,0.215667725,-0.9627228,RedDefault,0.0,0,0,3859.21582,Began,1365.0,941.000061,Roof
1,0.03479004,0.210128784,-0.956878662,RedDefault,0.421940923,1,0,3859.24927,Moved,1319.0,944.000061,Roof
1,0.0441894531,0.2110138,-0.972808838,RedDefault,0.843881845,2,0,3859.28247,Moved,1267.0,935.000061,Roof
1,0.041809082,0.211303711,-0.9695587,RedDefault,1.26582277,3,0,3859.316,Moved,1210.0,921.0,Roof
1,0.0365753174,0.213256836,-0.9682312,RedDefault,1.68776369,4,0,3859.34937,Moved,1149.0,906.0,Roof
1,0.0339355469,0.213470459,-0.9632416,RedDefault,2.10970473,5,0,3859.38257,Moved,1090.0,897.0,Roof
1,0.036026,0.2106018,-0.9643707,RedDefault,2.53164554,6,0,3859.416,Moved,1034.0,890.000061,Roof
1,0.0379638672,0.212814331,-0.9686279,RedDefault,2.95358658,7,0,3859.44922,Moved,978.0,884.000061,Roof
1,0.03703308,0.214569092,-0.9702301,RedDefault,3.37552738,8,0,3859.48267,Moved,925.0,876.999939,Roof
1,0.0397186279,0.213653564,-0.963989258,RedDefault,3.79746819,9,0,3859.51587,Moved,882.0,870.999939,Roof
1,0.0370941162,0.212615967,-0.9640045,RedDefault,4.21940947,10,0,3859.54932,Moved,846.0,864.0,Roof
1,0.0368042,0.212600708,-0.968063354,RedDefault,4.64135027,11,0,3859.58252,Moved,819.0,858.999939,Roof
1,0.038772583,0.213943481,-0.967453,RedDefault,5.063291,12,0,3859.616,Moved,810.0,858.0,Roof
1,0.0386199951,0.2131195,-0.965255737,RedDefault,5.48523235,13,0,3859.64917,Moved,809.0,858.0,Roof
1,0.0375061035,0.209915161,-0.965393066,RedDefault,5.48523235,14,0,3859.68262,Stationary,809.0,858.0,Roof
1,0.0365448,0.212341309,-0.964859,RedDefault,5.48523235,15,0,3859.71582,Stationary,809.0,858.0,Roof
1,0.03767395,0.215957642,-0.9683533,RedDefault,5.48523235,16,0,3859.74927,Stationary,809.0,858.0,Roof
1,0.0395355225,0.2141571,-0.9663391,RedDefault,5.48523235,17,0,3859.78247,Moved,811.0,858.0,Roof
1,0.03312683,0.212646484,-0.9668884,RedDefault,5.48523235,18,0,3859.816,Moved,819.0,864.0,Roof
1,0.0344696045,0.210662842,-0.9667816,RedDefault,5.48523235,19,0,3859.849,Moved,831.0,882.0,Roof
1,0.03868103,0.210876465,-0.96647644,RedDefault,5.48523235,20,0,3859.88257,Moved,871.0,927.0,Roof
1,0.03892517,0.218444824,-0.966583252,RedDefault,5.907173,21,0,3859.91577,Moved,937.0,978.0,Roof
1,0.03805542,0.2177124,-0.963912964,RedDefault,6.329114,22,0,3859.94922,Moved,985.0,1001.00006,Roof
1,0.03805542,0.2177124,-0.963912964,RedDefault,6.751055,23,0,3859.98267,Moved,1007.0,1002.0,Roof
1,0.03767395,0.2096405,-0.9636078,RedDefault,7.17299557,24,0,3860.01587,Moved,1013.0,999.0,Roof
1,0.0377197266,0.208389282,-0.9723053,RedDefault,7.59493637,25,0,3860.04932,Moved,1017.0,993.0,Roof
1,0.0377197266,0.208389282,-0.9723053,RedDefault,7.59493637,26,0,3860.08252,Moved,1022.0,987.999939,Roof
1,0.0357666,0.215499878,-0.9668579,RedDefault,7.59493637,27,0,3860.116,Moved,1025.0,981.999939,Roof
1,0.042099,0.216262817,-0.9621582,RedDefault,7.59493637,28,0,3860.14917,Moved,1027.0,975.999939,Roof
1,0.042099,0.216262817,-0.9621582,RedDefault,7.59493637,29,0,3860.18262,Moved,1028.0,968.000061,Roof
1,0.03904724,0.21270752,-0.9662323,RedDefault,7.59493637,30,0,3860.21582,Moved,1028.0,959.000061,Roof
1,0.0353393555,0.210662842,-0.968429565,RedDefault,7.59493637,31,0,3860.24927,Moved,1028.0,954.0,Roof
1,0.0344238281,0.212432861,-0.9667053,RedDefault,7.59493637,32,0,3860.28247,Moved,1028.0,950.000061,Roof
1,0.0416412354,0.210769653,-0.966430664,RedDefault,7.59493637,33,0,3860.316,Moved,1028.0,947.000061,Roof
1,0.0416412354,0.210769653,-0.966430664,RedDefault,7.59493637,34,0,3860.349,Moved,1028.0,945.999939,Roof
1,0.03717041,0.211914063,-0.966568,RedDefault,7.59493637,35,0,3860.38257,Stationary,1028.0,945.999939,Roof
1,0.0398864746,0.209732056,-0.9713135,RedDefault,7.59493637,36,0,3860.41577,Moved,1024.0,945.999939,Roof
1,0.0402984619,0.2064209,-0.9675293,RedDefault,7.59493637,37,0,3860.44922,Moved,1010.0,948.0,Roof
1,0.03916931,0.2084198,-0.964798,RedDefault,7.59493637,38,0,3860.48242,Moved,997.0,957.999939,Roof
1,0.0378265381,0.212905884,-0.9651184,RedDefault,7.59493637,39,0,3860.51587,Moved,982.0,972.0,Roof
1,0.0402374268,0.2122345,-0.9684601,RedDefault,7.59493637,40,0,3860.549,Moved,963.0,987.999939,Roof
1,0.0388641357,0.2101593,-0.968277,RedDefault,8.016877,41,0,3860.58252,Moved,947.0,1008.99994,Roof
1,0.0402984619,0.207611084,-0.9656677,RedDefault,8.438819,42,0,3860.61572,Moved,931.0,1031.0,Roof
1,0.03955078,0.208190918,-0.9660187,RedDefault,8.86076,43,0,3860.64917,Moved,917.0,1048.0,Roof
1,0.03765869,0.2089386,-0.9696655,RedDefault,9.282701,44,0,3860.68262,Moved,908.0,1058.0,Roof
1,0.0393676758,0.207275391,-0.9670105,RedDefault,9.282701,45,0,3860.71582,Moved,902.0,1063.0,Roof
1,0.04058838,0.205871582,-0.9663696,RedDefault,9.704641,46,0,3860.74927,Moved,897.0,1065.0,Roof
1,0.0411071777,0.2073822,-0.965911865,RedDefault,9.704641,47,0,3860.78247,Moved,894.0,1065.0,Roof
1,0.039855957,0.209030151,-0.968277,RedDefault,9.704641,48,0,3860.816,Stationary,894.0,1065.0,Roof
1,0.03894043,0.212097168,-0.9671173,RedDefault,9.704641,49,0,3860.849,Moved,894.0,1064.0,Roof
1,0.0406188965,0.211730957,-0.966064453,RedDefault,9.704641,50,0,3860.88257,Moved,894.0,1061.0,Roof
1,0.03691101,0.211807251,-0.9655304,RedDefault,10.1265821,51,0,3860.91577,Moved,894.0,1052.0,Roof
1,0.0377655029,0.212112427,-0.968688965,RedDefault,10.1265821,52,0,3860.94922,Moved,895.0,1030.0,Roof
1,0.0393981934,0.20954895,-0.966918945,RedDefault,10.1265821,53,0,3860.98242,Moved,894.0,1005.99994,Roof
1,0.04244995,0.212844849,-0.9671631,RedDefault,10.1265821,54,0,3861.01587,Moved,879.0,987.0,Roof
1,0.0440979,0.212585449,-0.9672394,RedDefault,10.5485229,55,0,3861.049,Moved,862.0,975.0,Roof
1,0.0381011963,0.210952759,-0.9643707,RedDefault,10.5485229,56,0,3861.08252,Moved,834.0,960.999939,Roof
1,0.0370941162,0.211349487,-0.9681854,RedDefault,10.9704647,57,0,3861.11572,Moved,802.0,951.0,Roof
1,0.0378417969,0.213470459,-0.9636383,RedDefault,11.3924046,58,0,3861.14917,Moved,775.0,948.0,Roof
1,0.0389099121,0.215316772,-0.9646759,RedDefault,11.8143463,59,0,3861.18237,Moved,758.0,948.0,Roof
1,0.0393219,0.213348389,-0.9685974,RedDefault,12.2362871,60,0,3861.21582,Moved,745.0,948.0,Roof
1,0.0390625,0.212600708,-0.9654999,RedDefault,12.2362871,61,0,3861.249,Moved,741.0,951.999939,Roof
1,0.04147339,0.213317871,-0.9678955,RedDefault,12.2362871,62,0,3861.28247,Moved,740.0,954.0,Roof
1,0.0373840332,0.214279175,-0.967956543,RedDefault,12.2362871,63,0,3861.316,Moved,740.0,954.999939,Roof
1,0.0377502441,0.2130127,-0.963882446,RedDefault,12.2362871,64,0,3861.349,Moved,740.0,957.0,Roof
1,0.038848877,0.210357666,-0.9648895,RedDefault,12.2362871,65,0,3861.38257,Moved,740.0,959.000061,Roof
1,0.0420532227,0.210693359,-0.9672699,RedDefault,12.2362871,66,0,3861.41577,Moved,740.0,962.000061,Roof
1,0.04260254,0.211257935,-0.9689636,RedDefault,12.2362871,67,0,3861.44922,Moved,740.0,963.0,Roof
1,0.0412597656,0.209487915,-0.9670868,RedDefault,12.2362871,68,0,3861.48242,Moved,740.0,963.999939,Roof
1,0.0387268066,0.209472656,-0.963974,RedDefault,12.2362871,69,0,3861.51587,Moved,740.0,965.000061,Roof
1,0.0377044678,0.213348389,-0.9687042,RedDefault,12.2362871,70,0,3861.549,Moved,742.0,965.000061,Roof
1,0.041229248,0.2114563,-0.9698944,RedDefault,12.2362871,71,0,3861.58252,Moved,743.0,966.0,Roof
1,0.0410614,0.210983276,-0.9661865,RedDefault,12.2362871,72,0,3861.61572,Moved,748.0,966.999939,Roof
1,0.03627014,0.208724976,-0.966918945,RedDefault,12.2362871,73,0,3861.64917,Moved,754.0,969.999939,Roof
1,0.0387268066,0.21081543,-0.9663391,RedDefault,12.2362871,74,0,3861.68237,Moved,760.0,975.999939,Roof
1,0.0410308838,0.210250854,-0.971908569,RedDefault,12.2362871,75,0,3861.71582,Moved,774.0,996.0,Roof
1,0.04234314,0.210067749,-0.961700439,RedDefault,12.2362871,76,0,3861.749,Moved,782.0,1010.00006,Roof
1,0.04121399,0.208221436,-0.973205566,RedDefault,12.6582279,77,0,3861.78247,Moved,782.0,1013.00006,Roof
1,0.0400390625,0.2074585,-0.9683075,RedDefault,13.08017,78,0,3861.81567,Stationary,782.0,1013.00006,Roof
1,0.0382232666,0.21194458,-0.9658661,RedDefault,13.08017,79,0,3861.849,Moved,783.0,1014.0,Roof
1,0.0392456055,0.2135315,-0.9647522,RedDefault,13.08017,80,0,3861.88232,Stationary,783.0,1014.0,Roof
1,0.040512085,0.211868286,-0.9656372,RedDefault,13.08017,81,0,3861.91577,Moved,783.0,1014.99994,Roof
1,0.03944397,0.210083008,-0.9704437,RedDefault,13.08017,82,0,3861.949,Moved,783.0,1017.0,Roof
1,0.0411071777,0.20753479,-0.968688965,RedDefault,13.08017,83,0,3861.98242,Moved,782.0,1020.0,Roof
1,0.04246521,0.208145142,-0.966995239,RedDefault,13.08017,84,0,3862.01587,Moved,768.0,1031.0,Roof
1,0.03918457,0.212692261,-0.9616852,RedDefault,13.08017,85,0,3862.049,Moved,749.0,1046.0,Roof
1,0.04408264,0.213546753,-0.9694519,RedDefault,13.08017,86,0,3862.08252,Moved,737.0,1054.0,Roof
1,0.0405273438,0.209854126,-0.969162,RedDefault,13.08017,87,0,3862.11572,Moved,732.0,1059.0,Roof
1,0.04081726,0.208023071,-0.968170166,RedDefault,13.08017,88,0,3862.14917,Moved,728.0,1062.0,Roof
1,0.03944397,0.208267212,-0.9662018,RedDefault,13.08017,89,0,3862.18237,Moved,727.0,1062.0,Roof
1,0.0377197266,0.212982178,-0.9654846,RedDefault,13.08017,90,0,3862.21582,Moved,725.0,1062.0,Roof
